"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977","cancer_type"
"GBM-438",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,1.49246780060893,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU439-1-GBM-vIII",-0.504092867637063,-0.449675359086114,-0.50884989360878,0.767845909922289,-0.443851632888024,-0.455326700619484,-0.450589165201014,3.3329368883146,-0.454763048708803,1.12529268616798,0.335519037345022,1.25693453606391,-0.321813678624422,1.12198096246941,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"GBM-440",1.45922823741099,-0.449675359086114,-0.50884989360878,2.94210768715425,-0.443851632888024,0.430152206614681,0.729927471016949,-0.439765002258775,0.519720305314261,2.9547171652321,1.91441479421979,1.64758841485244,3.14144466560707,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU443-1-GBM-WT",-0.504092867637063,-0.449675359086114,-0.50884989360878,1.89340592075173,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,1.08985411582052,2.51177878845704,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU445-1-GBM-WT",-0.504092867637063,0.823074257004717,-0.50884989360878,-0.458221166086452,-0.443851632888024,3.22744747515648,-0.450589165201014,-0.439765002258775,-0.454763048708803,0.793203553463689,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU454-1-GBM-WT",-0.504092867637063,1.01813369046325,1.60620622612709,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,1.22172114485413,-0.454763048708803,-0.44670420852186,3.18103612833089,0.0235675611123582,2.05175287635118,0.193599285954426,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU456-1-GBM-WT",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,0.579541874833691,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,0.491716063789838,-0.534409221752732,1.26748329863711,0.888824014730286,0.940412525280501,-0.427419269955464,0.838688934152155,"GBM"
"VU468-1-GBM-WT",-0.504092867637063,-0.449675359086114,0.438114435804943,-0.458221166086452,1.23292634577917,-0.455326700619484,-0.450589165201014,-0.439765002258775,1.20384830990232,-0.44670420852186,1.68975211801072,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"GBM-471",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,2.01204606493627,-0.450589165201014,0.691540400698187,-0.454763048708803,1.52367682588609,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"GBM-475",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"GBM-476",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,0.499412167563007,0.296068758906601,2.53925846884457,-0.449673180451552,-0.46119392711915,-0.427419269955464,0.849727123094061,"GBM"
"GBM-480",-0.504092867637063,-0.449675359086114,-0.50884989360878,0.66456242857637,-0.443851632888024,0.510154056936751,-0.450589165201014,-0.439765002258775,-0.454763048708803,1.07928759861497,3.09911064415109,-0.534409221752732,4.84502372777405,-0.449673180451552,-0.46119392711915,1.51933373967294,-0.504866704114067,"GBM"
"GBM-484",-0.504092867637063,3.09275720139337,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,0.542109189114857,-0.454763048708803,-0.44670420852186,4.26741761581347,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"GBM-485",-0.504092867637063,1.23315670640514,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,1.81952564977592,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"GBM-486",-0.504092867637063,1.73054733250288,-0.50884989360878,4.12338117910192,-0.443851632888024,4.82950409253451,-0.450589165201014,-0.439765002258775,-0.454763048708803,4.95454569688362,1.887489655538,0.778887761111588,5.72638981497896,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"GBM-499",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,0.696718592188071,-0.450589165201014,-0.439765002258775,0.813080772018937,1.04250548236741,-0.445044818954859,-0.534409221752732,0.706463079249618,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"GBM-505",-0.504092867637063,0.531457406435742,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"HD-1",1.50911800297888,-0.449675359086114,-0.50884989360878,1.91262850414191,-0.443851632888024,-0.455326700619484,-0.450589165201014,1.28648050301737,-0.454763048708803,1.30589519648509,-0.445044818954859,-0.534409221752732,-0.321813678624422,3.63149877508048,0.606249343996953,0.873317855983202,-0.504866704114067,"HC"
"HD-2-1",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,0.75541557303813,-0.445044818954859,-0.534409221752732,0.847215057838625,-0.449673180451552,-0.46119392711915,1.10616059052665,1.88716556380975,"HC"
"HD-3-1",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,0.720315835400911,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,1.64442976212647,"HC"
"HD-4",1.08773268952411,-0.449675359086114,2.4944947688397,-0.458221166086452,-0.443851632888024,-0.455326700619484,3.49929003764801,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,2.79814950716562,1.61195233450702,1.10167257838021,"HC"
"HD-5",2.11964023761191,-0.449675359086114,2.54416426438465,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,1.70580378538976,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,1.03727492714099,"HC"
"HD-7",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,0.763906794328951,-0.439765002258775,-0.454763048708803,0.73267083729424,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,0.414150812689076,1.07714445652414,0.677827965309596,"HC"
"HD-8",0.668293917374489,-0.449675359086114,0.629390671886375,0.836910916224839,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,0.994661389447599,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"HC"
"HD-9",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"HC"
"HD-10",0.809463409173953,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,3.53327971261253,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,5.41945864124406,-0.427419269955464,-0.504866704114067,"HC"
"HD-11-1",-0.504092867637063,0.950209186203531,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"HC"
"HD-13-1",0.989653870073462,-0.449675359086114,2.42748353682002,-0.458221166086452,1.51859986555743,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,0.170369075514442,-0.445044818954859,1.05320761032095,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"HC"
"HD-14-1",-0.504092867637063,-0.449675359086114,0.645358081795202,-0.458221166086452,1.0064529131892,-0.455326700619484,2.97204475734658,1.11304260756561,0.562361726262092,-0.44670420852186,-0.445044818954859,0.832766108752415,-0.321813678624422,1.23313031302488,0.167624979568626,-0.427419269955464,-0.504866704114067,"HC"
