"","ENSG00000005381","ENSG00000049768","ENSG00000073712","ENSG00000075131","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000115423","ENSG00000117519","ENSG00000117643","ENSG00000124107","ENSG00000128596","ENSG00000133063","ENSG00000134121","ENSG00000137103","ENSG00000152583","ENSG00000155275","ENSG00000156042","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197457","ENSG00000198178","ENSG00000198610","ENSG00000211786","ENSG00000211793","ENSG00000213160","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000232021","ENSG00000237702","ENSG00000239219","ENSG00000239961","ENSG00000254977","ENSG00000256862","ENSG00000266088","ENSG00000268632","ENSG00000269161","cancer_type"
"VU402-2-GBM",1.51515223390453,-0.504199158802513,0.887504403721603,-0.733629729022112,-0.449923050943037,-0.509007746483544,-0.458621758446677,1.14033207960966,-0.502861327644112,-0.444045139577054,-0.492461898611735,-0.695334545115003,0.748259562530054,-0.485615337411217,1.25111170357061,-0.450672281864098,-0.677899615801423,0.868787875550235,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,0.259281874064432,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.539968773308945,-0.49097363589531,-0.449906669511745,2.28375903064967,-0.554915624009196,-0.62450063710455,2.09328505199578,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,-0.682857600949436,0.212946522020634,-0.42753600107755,-0.597826957696208,-0.645951908280255,1.96086282330188,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
"VU406-2-GBM",1.04234647450846,-0.504199158802513,-0.470652812104852,-0.733629729022112,-0.449923050943037,-0.509007746483544,0.38239878988767,0.589260343759876,-0.502861327644112,-0.444045139577054,-0.492461898611735,-0.695334545115003,0.191461421719714,-0.485615337411217,1.68093349119022,-0.450672281864098,-0.677899615801423,-0.491195230546261,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.539968773308945,-0.49097363589531,-0.449906669511745,-0.409772550488234,-0.554915624009196,0.410303177928537,0.905858513486292,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.597826957696208,-0.645951908280255,0.835255493441819,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
"VU408-GBM",0.104890357139344,0.618654102192221,0.305224257204377,0.750846174182207,-0.449923050943037,-0.509007746483544,0.558669508455134,-0.517658494399999,-0.502861327644112,-0.444045139577054,-0.492461898611735,0.387878166296873,-0.136373044170889,-0.485615337411217,-0.455608707943101,-0.450672281864098,0.149679069426593,0.490944067890017,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.539968773308945,-0.49097363589531,-0.449906669511745,0.97846386581967,-0.554915624009196,-0.62450063710455,1.08184731999474,0.40180977588061,-0.00298629019783047,-0.539644491494582,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,0.589832908592258,0.668222995685622,0.642255176662719,-0.63676711901622,-0.504940112708961,0.982647319702641,0.893562676374299,-0.64539099472072,-0.578334879178989,"GBM"
"VU417-GBM-vIII",-0.624209078605594,-0.504199158802513,-0.470652812104852,-0.733629729022112,-0.449923050943037,-0.509007746483544,-0.458621758446677,-0.517658494399999,-0.502861327644112,-0.444045139577054,-0.492461898611735,-0.695334545115003,-0.645637629311048,-0.485615337411217,-0.455608707943101,-0.450672281864098,-0.677899615801423,-0.491195230546261,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.539968773308945,-0.49097363589531,-0.449906669511745,1.18166174892823,-0.554915624009196,-0.62450063710455,4.71488500893229,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,-0.102894804185466,-0.593162743880469,-0.42753600107755,-0.597826957696208,-0.645951908280255,2.11939701882205,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
"VU418-GBM",-0.624209078605594,-0.504199158802513,-0.470652812104852,-0.733629729022112,-0.449923050943037,-0.509007746483544,-0.458621758446677,-0.517658494399999,-0.502861327644112,-0.444045139577054,-0.492461898611735,-0.695334545115003,-0.645637629311048,-0.485615337411217,-0.455608707943101,-0.450672281864098,-0.677899615801423,-0.491195230546261,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.539968773308945,-0.49097363589531,-0.449906669511745,-0.409772550488234,-0.554915624009196,-0.62450063710455,-0.581298017683855,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.597826957696208,-0.645951908280255,-0.518681577919484,1.1854288987417,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
"VU419-GBM",1.80937403421519,-0.504199158802513,1.08985538798242,-0.733629729022112,-0.449923050943037,-0.509007746483544,3.02041354093092,2.27028705523514,-0.502861327644112,-0.444045139577054,-0.492461898611735,-0.695334545115003,2.63343272100071,-0.485615337411217,2.19417318154923,-0.450672281864098,-0.677899615801423,2.4325931488899,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,4.07284827503066,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.539968773308945,-0.49097363589531,-0.449906669511745,-0.409772550488234,-0.554915624009196,-0.62450063710455,3.35147622598598,-0.569368039261339,-0.71915931498025,0.540228383558396,-0.46163066697826,0.242249546579246,-0.593162743880469,-0.42753600107755,-0.597826957696208,-0.645951908280255,-0.518681577919484,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
"VU421-GBM",-0.624209078605594,-0.504199158802513,-0.470652812104852,0.243538723464261,3.21143381930843,-0.509007746483544,-0.458621758446677,-0.517658494399999,-0.502861327644112,-0.444045139577054,-0.492461898611735,-0.695334545115003,-0.645637629311048,-0.485615337411217,-0.455608707943101,-0.450672281864098,-0.677899615801423,2.68673393999976,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,-0.447146324040723,1.32530863481739,-0.534776723349047,-0.322196680607796,-0.539968773308945,-0.49097363589531,-0.449906669511745,-0.409772550488234,-0.554915624009196,1.18621400563775,0.513481057120457,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.597826957696208,-0.645951908280255,-0.518681577919484,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,0.29936559567479,-0.578334879178989,"GBM"
"VU422-GBM",-0.624209078605594,-0.504199158802513,0.577338893465676,-0.733629729022112,1.11551156736132,-0.509007746483544,-0.458621758446677,0.225472166206192,-0.502861327644112,-0.444045139577054,0.548476257838451,-0.695334545115003,-0.158120446232471,-0.485615337411217,-0.455608707943101,-0.450672281864098,-0.677899615801423,1.12309225560609,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.539968773308945,-0.49097363589531,-0.449906669511745,-0.409772550488234,-0.554915624009196,0.0702155572116562,0.72573928151479,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.597826957696208,-0.645951908280255,-0.518681577919484,0.285502093312229,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
"VU425-GBM",-0.624209078605594,-0.504199158802513,0.231004801831647,0.611761335964446,-0.449923050943037,-0.509007746483544,0.193530516817936,-0.517658494399999,-0.502861327644112,0.796144854007521,0.709747788431359,-0.695334545115003,0.269862543545298,-0.485615337411217,-0.455608707943101,-0.450672281864098,0.0705139004515796,0.760387077896006,-0.608120355543699,0.237794662837813,-0.440006424941422,-0.454939538219349,-0.447146324040723,0.270036237979716,-0.534776723349047,1.52460504876536,-0.539968773308945,-0.49097363589531,-0.449906669511745,1.12539233549958,-0.554915624009196,0.301727496359169,1.04360240174135,0.308908089052712,0.194901214970469,-0.539644491494582,1.22315945617307,-0.358534001175579,0.234772617880408,-0.42753600107755,-0.597826957696208,-0.645951908280255,-0.518681577919484,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
"VU429-1-GBM-vIII",1.31483440336032,-0.504199158802513,-0.470652812104852,-0.733629729022112,-0.449923050943037,-0.509007746483544,1.05950121446587,1.76893964614923,-0.502861327644112,-0.444045139577054,-0.492461898611735,-0.695334545115003,-0.645637629311048,-0.485615337411217,1.90201741499422,-0.450672281864098,-0.677899615801423,-0.491195230546261,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.539968773308945,-0.49097363589531,-0.449906669511745,1.66191887555665,-0.554915624009196,-0.62450063710455,0.865679719505033,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,-0.682857600949436,0.0566960410180804,-0.42753600107755,-0.597826957696208,-0.645951908280255,-0.518681577919484,0.542885252372818,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
