"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977"
"VU422-GBM",3.44218796603894,4.11827025637233,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU425-GBM",3.44218796603894,3.44218796603894,3.44218796603894,3.76371351575062,3.895962543418,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.76371351575062,3.44218796603894,4.28268914974825,3.44218796603894,4.1553465302178,3.44218796603894,3.44218796603894
"VU429-1-GBM-vIII",3.44218796603894,3.44218796603894,3.44218796603894,4.19065629454026,3.44218796603894,4.4015549513195,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU430-GBM",3.44218796603894,3.44218796603894,3.44218796603894,3.69483430124136,3.44218796603894,3.94556919268459,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.79903023660618,3.44218796603894,3.94556919268459,3.44218796603894,3.69483430124136,3.44218796603894,3.44218796603894
"VU431-1-GBM-vIII",3.44218796603894,4.01088976868496,4.17329336045173,3.90752352030331,3.44218796603894,4.17329336045173,3.44218796603894,3.44218796603894,3.90752352030331,3.77193982355384,3.44218796603894,4.17329336045173,3.44218796603894,3.44218796603894,3.90752352030331,3.44218796603894,3.44218796603894
"VU436-1-GBM-vIII",3.44218796603894,4.12614176179315,3.44218796603894,4.12614176179315,3.44218796603894,4.92040130794242,3.44218796603894,3.44218796603894,3.44218796603894,5.0489245472234,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.12614176179315,3.44218796603894,3.44218796603894
"GBM-438",3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.30440644972482,3.44218796603894,3.44218796603894,3.44218796603894
"VU439-1-GBM-vIII",3.44218796603894,3.44218796603894,3.44218796603894,4.04803716662432,3.44218796603894,3.44218796603894,3.44218796603894,5.13933002348167,3.44218796603894,4.14008934110984,3.79368108462921,4.35895059572792,3.44218796603894,4.14008934110984,3.44218796603894,3.44218796603894,3.44218796603894
"GBM-440",4.06414742037909,3.44218796603894,3.44218796603894,5.11901717255921,3.44218796603894,3.80312163982069,3.80312163982069,3.44218796603894,3.80312163982069,4.94999966542064,4.50370703353458,4.55848334228385,5.0206013654363,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU443-1-GBM-WT",3.44218796603894,3.44218796603894,3.44218796603894,4.60321478862706,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.12436961281234,4.77174536359927,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
