"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977"
"VU402-2-GBM",-1.48651875439176,-1.53009304562607,-1.40349273701004,-1.45636137946003,-1.64883759963448,-0.313829001401452,-1.62203603895919,-1.59856832737247,-1.61563455112629,-0.931870142163169,-1.4906255025032,-1.10069834732605,-1.49177556360987,-1.52136479905646,-1.39279279606505,-1.7862932986112,-1.60547171583492
"VU406-2-GBM",-1.49207838195506,-1.54062099006238,-1.41620270938794,-0.625201094902636,-1.65615512287883,-0.0542877746263479,-1.62634834252466,-1.61043781180134,-1.62266898065375,-1.46870801366629,-1.50202090432955,-1.12303622473858,-1.51177934055068,-1.53251284767972,-1.40759509535617,-1.79328798520366,-1.61117047557015
"VU408-GBM",-1.03480542359729,-1.50701261356642,-1.37576635509834,-0.411971057307996,-1.63138248067472,-1.53092652579634,-1.6117791900371,-1.57277902591412,-1.59969285371922,-1.42435242020325,-1.46573284608166,-1.05237507680724,-1.40927802163884,-1.49700621238588,-1.36003964201904,-1.76596908016921,-1.59231573665131
"VU417-GBM-vIII",-1.48049453915221,-1.51896833314479,-1.39010617733547,-1.43884632833558,-1.64101065553134,-1.54160730745221,-1.6173537125301,-1.58609918145716,-1.60811013564207,-1.44009585944892,-1.47861239779962,-1.07730345083549,-1.45838393516966,-1.50961042078366,-1.37712626442985,-1.7787882300509,-1.59930901626677
"VU418-GBM",-1.442224126182,-1.48279165209481,-1.35228447223522,-1.38907079768198,-1.610882548055,-1.50817750923325,-1.58641932169743,-1.54434332877292,-1.57983948676434,-1.39725993638953,-1.44134851767521,-1.01395841294207,-1.33737620034531,-1.47204538063269,-1.29460317594976,-1.71281643752104,-1.54419840466451
"VU419-GBM",-1.40991297892905,-1.46477899534669,-1.3311675549849,0.980448790521895,-1.57309465420308,0.135964392532687,-1.55630362536471,-1.52513759665993,-1.56062645776033,0.938856265144873,-1.42213472205737,-0.96782861876452,-1.28973000980229,-1.45326516293977,-1.24955994596378,-1.67759450720107,-1.51231315437432
"VU421-GBM",-1.42764123261504,0.448291645063636,-1.34274497770478,-1.3777413544987,-1.59382785080615,-1.50076405678584,-1.57282729443585,-1.53566270643213,-1.5738793959208,-1.37767321151182,-0.0492415548510534,-0.997235286252703,-1.31587218750044,-1.46356015448638,-1.27427394951731,-1.69691982892779,-1.52980772990148
"VU422-GBM",-1.47842115970919,-0.297850034206426,-1.3855863421926,-1.43296678197684,-1.63834054889343,-1.53825015960024,-1.61573989034175,-1.58189660162195,-1.60554318713596,-1.43513530261112,-1.47455397929385,-1.06943220540996,-1.44263782972857,-1.50563897936725,-1.37181913532244,-1.77484154549019,-1.59719089167804
"VU425-GBM",-1.48401488443887,-1.52543457448259,-1.39788181177581,-0.879274922763491,-0.926025515131338,-1.54736213261672,-1.62009111255162,-1.59333789981122,-1.61249503337706,-1.44862613250687,-0.998503617672183,-1.09087689305699,0.904504326954809,-1.51643951166792,0.287223180239104,-1.78316927473921,-1.60290874784562
"VU429-1-GBM-vIII",-1.38587086544915,-1.45142080521547,-1.31551230332409,0.123202693662499,-1.54497739717589,0.0392785985043613,-1.53389510538585,-1.50755693564905,-1.53209989708795,-1.31706186306371,-1.40789765790937,-0.927948862453513,-1.25427738068476,-1.43934940723822,-1.21604413055968,-1.65138653510076,-1.48858794276821
