"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977"
"VU406-2-GBM",-1.47504800553357,-1.52388381209069,-1.40106199421482,-0.69571839681877,-1.64015319426346,-0.0668869097177147,-1.60507582739107,-1.59431479541511,-1.60625054194249,-1.45283139544541,-1.48602223074697,-1.10774310970428,-1.47579601615944,-1.51708151855422,-1.47121232868221,-1.77678440977801,-1.59486655854856
"VU408-GBM",-1.03136900105202,-1.49188938397038,-1.3622744177733,-0.496331260304956,-1.61708441067698,-1.51568091521798,-1.59171390410656,-1.55829756752713,-1.58482143031668,-1.41019101808165,-1.45137612915897,-1.03860645309496,-1.37535540429096,-1.48317615711556,-1.44139542695803,-1.75163800765694,-1.57740793578331
"VU417-GBM-vIII",-1.46420404623014,-1.50329210059573,-1.37605259168772,-1.46565296203695,-1.62584859381698,-1.52583182112515,-1.59660394990286,-1.57106019256936,-1.59255075593078,-1.42535186418429,-1.46369480905518,-1.0630279783726,-1.42393894509994,-1.49523346637073,-1.45220134589787,-1.76312360774965,-1.58377206872032
"VU418-GBM",-1.42944062039833,-1.46898566666801,-1.34007835646616,-1.41990209795487,-1.59781853548366,-1.49421583001814,-1.56757040023048,-1.53115603714856,-1.56592710121462,-1.38439175031802,-1.42829944410419,-1.00090937301504,-1.30421845116492,-1.45948379581105,-1.42415250943378,-1.70081155135143,-1.53254968593789
"VU419-GBM",-1.39783814110032,-1.4514910372622,-1.31946452370802,0.897517322714114,-1.56201550493315,0.120989896941572,-1.53816328385494,-1.51244798770322,-1.54979839822595,0.915875002151301,-1.40959881557131,-0.956603626650751,-1.25707910528581,-1.4412085909007,-1.39910770677801,-1.66628731700164,-1.50137364739495
"VU421-GBM",-1.41517756782247,0.42746487812399,-1.33076733979523,-1.40948726562115,-1.58237698695508,-1.48703878756008,-1.55429817424425,-1.52270157890292,-1.5601915383465,-1.36727283491167,-0.059857761045768,-0.985828418899951,-1.28294319100812,-1.4512279007066,-1.41867319299734,-1.68522983179619,-1.51847909759412
"VU422-GBM",-1.4622591782649,-0.30600201699348,-1.37171244159667,-1.46043341868507,-1.62332087142218,-1.52264348104106,-1.59508083897359,-1.56703617361919,-1.5901297753859,-1.42057789796844,-1.45981565550994,-1.0553202887372,-1.40836034160243,-1.4914368366363,-1.44882254943957,-1.75970215080517,-1.58178676136695
"VU425-GBM",-1.46750349198502,-1.50944967127113,-1.38351326730766,-0.935662679853975,-0.927265814955621,-1.53129237864378,-1.59918535557317,-1.57798549519033,-1.59668253922469,-1.43355463471667,-0.99420428677783,-1.07631155828297,0.923395723169454,-1.50175650206217,-0.0515492885890864,-1.767246615102,-1.58714322397507
"VU429-1-GBM-vIII",-1.37432333404065,-1.43851059461105,-1.30417567782085,-0.00263480682821493,-1.53440234742417,0.0257360137287235,-1.51628200481885,-1.49859564846077,-1.52177175096537,-1.30734058476361,-1.39573590201282,-0.916970519852556,-1.22200360969533,-1.42766076523776,-1.36601329298438,-1.64059848727527,-1.47817614683468
"VU430-GBM",-1.48558740589174,-1.54494895464772,-1.42683771819835,-1.1160801560413,-1.65442074964871,-0.676128196468322,-1.61327546327546,-1.61839978491936,-1.61991305880299,-1.481103592887,-0.908385508578418,-1.15446406477391,-0.1893981084867,-1.53953731325688,-1.14483703210748,-1.79037859978392,-1.60569107275087
