"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000198074",1.1700139041722,0.918031147648039,0.788439341301717,1.16436496704029,0.244276138554221,0.33858075209097
"ENSG00000135426",56.4279666824145,-0.338104805878638,0.290610659510911,-1.16342878285214,0.244655577207327,0.339041339989364
"ENSG00000198868",0.589200757977935,-0.565639834628518,0.486208721484724,-1.16336834292326,0.244680087925545,0.339041339989364
"ENSG00000121988",3.62117201844109,-0.766430374957079,0.659211232662273,-1.16264762640921,0.244972499041776,0.339396827833606
"ENSG00000187021",0.31218363538056,-1.26558667106361,1.08868596101077,-1.16249011780091,0.245036436511432,0.339435719429771
"ENSG00000153347",171.316379422206,0.199806767092075,0.172002549342901,1.16165003283611,0.245377649971139,0.339858638859485
"ENSG00000175550",93.6989700187261,-0.170292719224886,0.146708465945488,-1.16075591226045,0.245741176808768,0.340312334989491
"ENSG00000170917",1.36650572472419,0.53739152605373,0.463204598289386,1.16016017120365,0.245983599612209,0.34059821312801
"ENSG00000243156",1.44972364732769,-0.746030566723305,0.643310558775755,-1.15967405873616,0.246181535821933,0.340822418814917
"ENSG00000106327",1.35926905055893,1.04887565112131,0.90480518136143,1.1592281661596,0.246363193363061,0.341024025448004
"ENSG00000198518",1.26469653515767,0.525170952865662,0.453106772176733,1.15904458973926,0.246438010062671,0.34107770213997
"ENSG00000067601",10.5430035904978,-0.274020033898716,0.23646745193389,-1.15880655734103,0.246535044039825,0.341112230525278
"ENSG00000254521",0.363112762788107,-1.12285109518693,0.968916783755036,-1.15887258226173,0.246508126278788,0.341112230525278
"ENSG00000101940",100.762193489737,0.235849586220857,0.203830919091208,1.15708444662079,0.247237860500134,0.342034660396618
"ENSG00000120156",0.588603513390187,1.84592553167939,1.59602137174794,1.15657945711451,0.247444219262298,0.342220092225397
"ENSG00000167995",0.423747563183636,-1.04422916365935,0.902831752918415,-1.15661546050398,0.247429502856789,0.342220092225397
"ENSG00000123815",5.82787227124705,-0.507218292685548,0.438873253690605,-1.15572842140689,0.247792259040763,0.342651364634977
"ENSG00000172296",0.328139876295312,-2.01562492325879,1.74498327249263,-1.15509698862589,0.248050711272374,0.342958645943279
"ENSG00000244879",0.791820374703539,-0.708392282478125,0.61338662571956,-1.15488706922345,0.248136675307594,0.343027387541786
"ENSG00000108306",3.67436040514981,-0.591203447024116,0.511990418855896,-1.15471584086521,0.248206810418775,0.343074230145068
"ENSG00000128394",7.06987735355095,0.297258348449381,0.257797104233426,1.15307093667051,0.248881269581703,0.343956240555087
"ENSG00000163958",0.610489396262798,-1.01170139645857,0.877827834153585,-1.15250548808818,0.249113415861095,0.344185682904039
"ENSG00000179889",30.1711834776877,-0.245198943017726,0.212755921773567,-1.15248939241601,0.249120026193223,0.344185682904039
"ENSG00000237037",0.618984418446828,-0.817894148092343,0.710655061018259,-1.15090174257034,0.249772660830674,0.344986640703663
"ENSG00000237484",4.51861075358367,0.448467253235745,0.389651031934096,1.15094588870894,0.249754497562998,0.344986640703663
"ENSG00000162849",0.544567176467838,1.11413676386513,0.968729243611648,1.15010130148582,0.250102150404579,0.34539132517568
"ENSG00000105829",197.71436019164,0.130632914501214,0.113606238022527,1.14987448554815,0.250195570961052,0.345469927571549
"ENSG00000107929",6.71952147404888,-0.433197482972066,0.376851677350216,-1.14951719471713,0.250342780718264,0.345571377201266
"ENSG00000187268",0.399585103625289,1.09201729242048,0.949978849386453,1.14951747938995,0.250342663404263,0.345571377201266
"ENSG00000189223",8.97683550764228,-0.452580358271535,0.393773539183918,-1.14934172369604,0.250415099835828,0.345571377201266
"ENSG00000268001",0.314705270846296,-1.04017073884726,0.904989151747507,-1.14937370999279,0.250401915826888,0.345571377201266
"ENSG00000114993",0.805551794530598,-1.23228509007495,1.07300113192964,-1.14844714828852,0.250784019403393,0.346030027647428
"ENSG00000152465",13.1495535066558,-0.463178686654964,0.403397407998198,-1.14819450366184,0.250888277774119,0.346077088767687
"ENSG00000267454",3.34687143337834,-0.379607719635241,0.330614812325895,-1.14818727256858,0.250891262260683,0.346077088767687
"ENSG00000233108",0.582195789813665,-0.765777366271928,0.667102864690729,-1.147914972044,0.251003666795814,0.346181682097869
"ENSG00000125812",1.42742170091901,-0.633690612340843,0.552121679613585,-1.1477372393425,0.251077053076604,0.346232439212733
"ENSG00000162994",10.4561028768644,0.372680069730051,0.324871024749455,1.14716315503196,0.251314196220668,0.346508967516376
"ENSG00000241007",0.363273993093039,-0.912928422095167,0.7958870063426,-1.14705782959118,0.251357721086344,0.346518495609783
"ENSG00000171798",0.386024371348764,-1.45213345205281,1.26620993097095,-1.14683467293555,0.251449956099697,0.346595162325594
"ENSG00000133466",0.343756805352836,-0.884123182824582,0.771066670529162,-1.14662352377108,0.251537249918805,0.346664996829994
"ENSG00000143842",0.30828959442489,-1.18287526675071,1.03306408527245,-1.14501634856346,0.2522023851702,0.347531067741813
"ENSG00000145029",3.93288566522335,-0.394125442251305,0.344419129444827,-1.14431925685022,0.252491259991302,0.347827843458178
"ENSG00000187990",0.828064980477168,0.626520103728801,0.547477929264494,1.14437508845424,0.252468114881676,0.347827843458178
"ENSG00000120925",10.2628109792413,-0.346797551915448,0.303094563498405,-1.1441892850621,0.252545145799353,0.347851442271151
"ENSG00000070718",18.731049723007,-0.296745852646534,0.259390999152422,-1.14400982923915,0.252619560671429,0.347852687646502
"ENSG00000129422",2.55809010101738,-0.813651353212185,0.711189515766437,-1.14407107412899,0.252594162560848,0.347852687646502
"ENSG00000222009",0.413132398056958,0.979312440540465,0.856344969272455,1.14359571864185,0.252791338051764,0.348038583549882
"ENSG00000227372",0.334888058334896,-1.22023426950038,1.0672472135987,-1.1433473462871,0.252894404522388,0.348129839185437
"ENSG00000272462",1.26967784936021,-0.55159613966291,0.482668072071683,-1.14280635405482,0.253119000072377,0.348388338668554
