"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000013441",99.9710653207747,-2.82216218473853,0.244761662007402,-11.5302460425897,9.28778965347197e-31,1.64428276087393e-28
"ENSG00000121858",21.5156955158305,-4.03022747289308,0.349832482857955,-11.5204495590808,1.04066615018088e-30,1.80886698104168e-28
"ENSG00000117289",487.911187751104,-2.35947253145444,0.204987377346383,-11.5103308408471,1.17028576088784e-30,1.96279506562943e-28
"ENSG00000188846",793.115541918202,-2.21518877248825,0.192451067017365,-11.5104000555547,1.16934685197881e-30,1.96279506562943e-28
"ENSG00000112306",1084.62731644969,-2.16621180846271,0.188719518220266,-11.4784725442886,1.69243987925249e-30,2.78960780097479e-28
"ENSG00000162894",22.9823139645976,-4.22780329462258,0.36888286338053,-11.461099753667,2.06871130644883e-30,3.35201357451709e-28
"ENSG00000163479",100.666204758895,-2.54678101484016,0.222304067221157,-11.4562951846784,2.18669899144916e-30,3.48414039304233e-28
"ENSG00000123349",770.733779499314,-1.49292553493911,0.130376782512224,-11.4508542561949,2.32839511614752e-30,3.64909136235579e-28
"ENSG00000169249",34.0411230658703,-3.36453126795938,0.294697490904142,-11.4168982492416,3.44303726586375e-30,5.30894133252539e-28
"ENSG00000164587",2044.52919619242,-2.25245107556448,0.198585751317056,-11.3424606781998,8.0838938314734e-30,1.22669880998231e-27
"ENSG00000108298",1248.71625709977,-2.13358728711101,0.189023428485854,-11.2874224333027,1.51411958326327e-29,2.26171612749951e-27
"ENSG00000198821",11.3263304533503,-4.67561344987899,0.414630740214933,-11.2765721312783,1.71291123676888e-29,2.51929714207853e-27
"ENSG00000166441",903.345517256146,-2.03069887721379,0.18057851480231,-11.2455176599327,2.43663019490111e-29,3.52942191867495e-27
"ENSG00000136942",393.49871759749,-2.38873278392512,0.212561269799016,-11.2378552601975,2.65760551456317e-29,3.7920460774961e-27
"ENSG00000110700",816.126714205732,-2.23453801032895,0.200138482170513,-11.1649593126482,6.05189034621155e-29,8.50824583967388e-27
"ENSG00000089009",453.577702324696,-2.22225691853706,0.199234719024527,-11.1539641756088,6.84857457935359e-29,9.48874970704643e-27
"ENSG00000071082",1265.6175902636,-2.2899080026,0.205368306941277,-11.1502501856568,7.14053163496479e-29,9.72949307403746e-27
"ENSG00000142937",527.973339350494,-2.28248553994202,0.204722041958895,-11.149192915926,7.2258787474546e-29,9.72949307403746e-27
"ENSG00000197958",972.50679744436,-2.14871837167537,0.193001108130795,-11.1331918893399,8.64821820793547e-29,1.14829119538699e-26
"ENSG00000122406",912.157696648545,-2.26131167964019,0.203299956762737,-11.1230307947349,9.69224441747347e-29,1.26928570727461e-26
"ENSG00000102265",2792.76478416225,1.12789993100621,0.101933555188582,11.0650504529106,1.85358536351684e-28,2.39463190205689e-26
"ENSG00000125691",794.853200744447,-2.3702989566549,0.214632186644813,-11.0435391527619,2.35567992161773e-28,2.98878364235382e-26
"ENSG00000156256",75.2481070571521,-2.76401180340017,0.250300657777901,-11.0427668386423,2.37602046881685e-28,2.98878364235382e-26
"ENSG00000114942",396.02191293722,-1.98091147881066,0.180317461883392,-10.9856885634941,4.47810633388648e-28,5.55983072103309e-26
"ENSG00000172809",411.057392046081,-2.48315146765936,0.226585068640599,-10.9590251579995,6.0143719493412e-28,7.37146100457716e-26
"ENSG00000231500",2226.14765565476,-2.20793923559164,0.20172321769565,-10.9453897316018,6.99163894962642e-28,8.46076814663652e-26
"ENSG00000185485",6.36586413779353,-4.81312389663945,0.439997149024441,-10.9389888259755,7.50320684432957e-28,8.96633217897383e-26
"ENSG00000197756",514.317683080562,-2.43424688262996,0.222796152885046,-10.9258927998004,8.66836931549291e-28,1.01409371498113e-25
"ENSG00000204628",1281.223524878,-1.81314382659826,0.165954011856506,-10.925579962273,8.69829337117703e-28,1.01409371498113e-25
"ENSG00000100453",108.387459528098,-2.73254791931159,0.251306387727182,-10.8733723166561,1.5438668739078e-27,1.77823702585042e-25
"ENSG00000163728",16.360501773509,-5.01059940414694,0.46132562578708,-10.8613073370859,1.76208296724672e-27,2.00541823415222e-25
"ENSG00000105374",164.543441071455,-2.52750896077826,0.233456251998424,-10.8264779338414,2.57884693664857e-27,2.9004443193365e-25
"ENSG00000150045",49.8148558214427,-3.42408679947501,0.31683096703538,-10.807298388521,3.17894504415566e-27,3.53380402582885e-25
"ENSG00000130255",549.501464228494,-2.53728062508042,0.235472833032478,-10.7752584126359,4.50515288377102e-27,4.87269201545898e-25
"ENSG00000144713",804.904540435982,-2.30258735393022,0.21370464974766,-10.774624495298,4.53629277589801e-27,4.87269201545898e-25
"ENSG00000178982",200.742078410504,-1.89107343385242,0.175490312354548,-10.7759420362295,4.47180879572079e-27,4.87269201545898e-25
"ENSG00000119397",104.349971569722,-2.78266172435459,0.2586360441335,-10.7589865661503,5.37580876669163e-27,5.71030353439689e-25
"ENSG00000116251",83.5497512223724,-2.74421828951609,0.256245542133933,-10.709330849868,9.2024551466275e-27,9.66763419799548e-25
"ENSG00000172183",51.069779879201,-2.49465563011797,0.233127706405975,-10.7008114504146,1.00890794749421e-26,1.04838695413529e-24
"ENSG00000137818",1544.80718443736,-1.50919356017321,0.141086243428929,-10.6969575735671,1.05174939343344e-26,1.08115313991653e-24
"ENSG00000122026",2886.34635469362,-1.87681488521963,0.175540847790759,-10.6916134269601,1.1141569681538e-26,1.13312134207982e-24
"ENSG00000147403",1954.0255673215,-1.71049566410262,0.16029358509917,-10.6710175771811,1.3909467224377e-26,1.39973164910573e-24
"ENSG00000245164",16.1744276433742,-3.50398492331489,0.328876087672998,-10.6544229107922,1.66272691750549e-26,1.65579888868255e-24
"ENSG00000119596",26.9827402523397,-3.21162632615045,0.301954656441022,-10.6361212110592,2.02379750084869e-26,1.99458805238284e-24
"ENSG00000165272",4.63497758018246,-5.76266440801272,0.542082912510039,-10.6305959384138,2.14735898988647e-26,2.09477060646068e-24
"ENSG00000123636",79.8565082250461,-3.11533232059337,0.293316127056453,-10.6210741013697,2.37808863289526e-26,2.29641690206856e-24
"ENSG00000215908",5.99945338587173,-5.17688664744669,0.487508251145518,-10.6190749290547,2.42956802523161e-26,2.32266703212142e-24
"ENSG00000019582",2153.6895256292,-2.18014645239917,0.205609377566998,-10.6033415313889,2.87519733530354e-26,2.72147391341602e-24
"ENSG00000114391",503.14682632738,-2.25606180816746,0.212914579370012,-10.5960888861762,3.10703794607362e-26,2.88381386062755e-24
"ENSG00000185101",5.76660410816797,-6.19942888679987,0.58503118252327,-10.5967494930123,3.08517535840619e-26,2.88381386062755e-24
"ENSG00000054267",167.633838501195,-1.82758305631756,0.172553499603733,-10.5913995399373,3.26670774518165e-26,3.00285827345544e-24
"ENSG00000198034",810.326433910768,-1.98612762289344,0.187747866445886,-10.5786961018057,3.74128366240194e-26,3.40634969643453e-24
"ENSG00000105640",1101.14298883972,-2.06042513179073,0.19481595360114,-10.5762648987628,3.83960958690241e-26,3.46289317460255e-24
"ENSG00000160654",39.7278689889636,-4.53519245301959,0.429489044072556,-10.559506733898,4.59067752948465e-26,4.06359973906234e-24
"ENSG00000170889",262.350338622644,-2.18155890285711,0.206581365491883,-10.560288909228,4.55258468236229e-26,4.06359973906234e-24
"ENSG00000115738",50.2621920341852,-2.45883944291177,0.233047301552343,-10.5508170510162,5.03572617091449e-26,4.41665524715069e-24
