"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977"
"VU408-GBM",3.85966063739265,3.51266192128151,3.51266192128151,4.00222367063415,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU417-GBM-vIII",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU418-GBM",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU419-GBM",3.51266192128151,3.51266192128151,3.51266192128151,5.19066232815778,3.51266192128151,4.56600543534494,3.51266192128151,3.51266192128151,3.51266192128151,5.47325358097339,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU421-GBM",3.51266192128151,5.05908682477458,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.28978927849551,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU422-GBM",3.51266192128151,4.17271328566513,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU425-GBM",3.51266192128151,3.51266192128151,3.51266192128151,3.8264603387427,3.95557379381337,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.8264603387427,3.51266192128151,4.33341883130625,3.51266192128151,4.20894318321458,3.51266192128151,3.51266192128151
"VU429-1-GBM-vIII",3.51266192128151,3.51266192128151,3.51266192128151,4.24345161201356,3.51266192128151,4.4496701169207,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU430-GBM",3.51266192128151,3.51266192128151,3.51266192128151,3.75922724313753,3.51266192128151,4.0040147349935,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.8609361823967,3.51266192128151,4.0040147349935,3.51266192128151,3.75922724313753,3.51266192128151,3.51266192128151
"VU431-1-GBM-vIII",3.51266192128151,4.06781059880238,4.2264821327395,3.966862535702,3.51266192128151,4.2264821327395,3.51266192128151,3.51266192128151,3.966862535702,3.83449057570354,3.51266192128151,4.2264821327395,3.51266192128151,3.51266192128151,3.966862535702,3.51266192128151,3.51266192128151
"VU436-1-GBM-vIII",3.51266192128151,4.18040468739781,3.51266192128151,4.18040468739781,3.51266192128151,4.95794445952779,3.51266192128151,3.51266192128151,3.51266192128151,5.08408744844292,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.18040468739781,3.51266192128151,3.51266192128151
"GBM-438",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.35465379842034,3.51266192128151,3.51266192128151,3.51266192128151
"VU439-1-GBM-vIII",3.51266192128151,3.51266192128151,3.51266192128151,4.10409657617619,3.51266192128151,3.51266192128151,3.51266192128151,5.17287960769232,3.51266192128151,4.19403368312367,3.85571424058176,4.4079955946134,3.51266192128151,4.19403368312367,3.51266192128151,3.51266192128151,3.51266192128151
"GBM-440",4.11983460520239,3.51266192128151,3.51266192128151,5.15292480835907,3.51266192128151,3.86493032417211,3.86493032417211,3.51266192128151,3.86493032417211,4.98698574598575,4.54962780954558,4.60324877858262,5.05628013181481,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU443-1-GBM-WT",3.51266192128151,3.51266192128151,3.51266192128151,4.64704827074026,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.17867306682959,4.81216507928411,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU445-1-GBM-WT",3.51266192128151,4.05009182280339,3.51266192128151,3.51266192128151,3.51266192128151,4.97777302275269,3.51266192128151,3.51266192128151,3.51266192128151,4.05009182280339,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU454-1-GBM-WT",3.51266192128151,4.13245741206714,4.46297207935203,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.24381661284506,3.51266192128151,3.51266192128151,5.10629896826633,3.7915449667364,4.57059066756629,3.7915449667364,3.51266192128151,3.51266192128151,3.51266192128151
"VU456-1-GBM-WT",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.92436173400235,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.92436173400235,3.51266192128151,4.22103176037615,4.09295129105776,4.09295129105776,3.51266192128151,3.92436173400235
"VU468-1-GBM-WT",3.51266192128151,3.51266192128151,3.93813990892218,3.51266192128151,4.11223745215335,3.51266192128151,3.51266192128151,3.51266192128151,4.11223745215335,3.51266192128151,4.45089014508458,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"GBM-471",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.49425217301659,3.51266192128151,4.01050492430654,3.51266192128151,4.36671068018813,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"GBM-475",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"GBM-476",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.9277441174264,3.9277441174264,4.78787809908668,3.51266192128151,3.51266192128151,3.51266192128151,3.9277441174264
"GBM-480",3.51266192128151,3.51266192128151,3.51266192128151,4.05427431820887,3.51266192128151,3.89675730933348,3.51266192128151,3.51266192128151,3.51266192128151,4.17409307912783,5.07029329476397,3.51266192128151,5.81558694697755,3.51266192128151,3.51266192128151,4.17409307912783,3.51266192128151
