class,ENSG00000005381,ENSG00000012223,ENSG00000049768,ENSG00000073712,ENSG00000075131,ENSG00000078018,ENSG00000086548,ENSG00000094963,ENSG00000096696,ENSG00000100448,ENSG00000100985,ENSG00000101425,ENSG00000103037,ENSG00000103175,ENSG00000112077,ENSG00000114739,ENSG00000115423,ENSG00000115590,ENSG00000117318,ENSG00000117519,ENSG00000117560,ENSG00000117643,ENSG00000118113,ENSG00000118520,ENSG00000124107,ENSG00000124469,ENSG00000128596,ENSG00000132386,ENSG00000133063,ENSG00000134121,ENSG00000137103,ENSG00000147174,ENSG00000152583,ENSG00000154016,ENSG00000155275,ENSG00000155659,ENSG00000156042,ENSG00000159713,ENSG00000159899,ENSG00000160185,ENSG00000163687,ENSG00000165138,ENSG00000166428,ENSG00000172232,ENSG00000175445,ENSG00000178038,ENSG00000179593,ENSG00000179639,ENSG00000181007,ENSG00000184206,ENSG00000186854,ENSG00000196081,ENSG00000196533,ENSG00000196634,ENSG00000197353,ENSG00000197457,ENSG00000198178,ENSG00000198502,ENSG00000198610,ENSG00000198722,ENSG00000204219,ENSG00000211786,ENSG00000211793,ENSG00000211800,ENSG00000213160,ENSG00000225113,ENSG00000228486,ENSG00000229391,ENSG00000229807,ENSG00000230063,ENSG00000231027,ENSG00000232021,ENSG00000237702,ENSG00000239219,ENSG00000239961,ENSG00000254977,ENSG00000256862,ENSG00000266088,ENSG00000266371,ENSG00000268632,ENSG00000269161
1,1.624474488,1.861046049,-0.710809266,1.183219104,-0.861154509,1.126531289,2.094714717,-0.697643327,-0.711515126,-0.724693886,1.090937145,2.02561193,-0.728876576,0.849396987,-0.744768364,0.484778981,-0.709179697,1.003293191,-1.188893899,-0.70883233,-0.904971941,-0.744496903,3.463496694,3.031190011,0.793520279,1.789640447,-0.67567442,-0.991944419,1.554270333,-0.705626754,-0.810726639,1.263154775,1.178041833,-0.814429856,-0.773006564,-0.172292542,-0.781602525,-0.943047621,-0.671762621,-1.240375702,-0.993649348,-0.702226645,-0.978475777,-0.013137759,-0.689527502,-0.631162118,-0.447122483,-0.253443983,-0.769081558,-0.691619744,-1.354155825,-0.711609825,-0.699116151,2.605415332,-0.748060595,-0.772304721,-0.81621275,-0.691746372,2.104865899,1.863764659,-1.168620684,-0.780987296,-0.868893401,-0.856955686,-0.687251895,-0.855733498,-0.573852347,-0.854748421,0.184842952,-0.669681924,-1.139722155,-0.788952489,-0.812100715,2.045890786,-0.82695783,-0.693851962,-0.846046319,-0.629683399,-0.951535664,-0.764959881,-0.723059621
1,1.215224523,0.997588389,-0.72225985,-0.749074351,-0.883978744,1.254697775,0.871013867,-0.715142373,-0.729917702,0.421145827,0.445540933,1.354642123,-0.742951593,-0.327680237,1.371947267,-0.754397696,-0.72381485,0.724824016,-1.219318027,-0.727330799,-0.925337015,-0.751914316,1.900578518,0.664332515,0.162902387,0.790334748,-0.690540562,-1.01807622,2.031674362,-0.716409682,-0.828783978,0.231682747,-0.733305254,-0.828710863,-0.788203091,0.632251942,-0.799776789,-0.966525642,-0.690262688,-1.272462093,-1.024466593,-0.716674998,-1.008901513,-0.574263216,-0.707441087,-0.648206947,-0.460305287,-1.268424585,-0.788783379,-0.706097679,-1.388647759,-0.724037976,-0.717279808,-0.7387807,-0.763743172,-0.788492901,0.408853525,-0.342779627,0.977393471,0.922415838,-1.201348951,-0.795266223,-0.890264481,-0.873208306,-0.702337017,-0.877588474,-0.585554172,-0.885156698,-0.726019477,-0.683475919,-0.71433104,-0.806341985,-0.82726382,0.49410287,-0.840839214,-0.705646804,-0.863415658,-0.645464375,-0.980865283,-0.783352379,-0.738304615
1,0.08370933,0.472470352,0.254765626,0.212610813,0.759472103,0.761913043,-0.002578218,-0.659168097,-0.671264752,0.712007704,-0.630144893,0.472614599,-0.697193703,-0.658506598,4.486130517,-0.700247206,-0.674919027,-1.089387776,0.558328308,-0.668429218,-0.860117139,0.262272601,-0.612510931,-0.770113109,-0.283098898,0.118476968,-0.642570731,-0.93593023,-0.670671335,-0.680904508,-0.025900223,0.695239703,0.603873276,-0.782068495,-0.73887967,-0.7363424,-0.741421961,0.017783927,-0.631452447,0.582491122,-0.929087421,-0.669853423,-0.91506408,-0.528800141,-0.650286684,-0.594215614,-0.392906127,0.652295495,1.633074116,-0.659212692,0.278929472,-0.683392312,-0.659316872,1.042278328,-0.713080837,-0.736159188,-0.771760159,0.882881879,1.160028344,-0.212243865,0.43629848,0.142570913,-0.1630962,-0.045567678,-0.653658227,-0.808350296,-0.547431605,-0.792801119,-0.654701228,-0.630842548,-0.183089506,0.569649664,0.522708701,0.220334957,-0.795451896,-0.666978383,1.010851192,0.651614508,-0.89040998,-0.724493261,-0.689003674
1,-0.805835905,0.130995699,-0.698380369,-0.708296897,-0.837373014,1.302955553,-0.521594694,-0.679117158,-0.69209953,-0.702018967,-0.648825752,1.614494059,-0.713746806,-0.681925272,1.81335297,-0.719636259,-0.693495297,-1.124501799,-1.157437284,-0.689333704,-0.883389912,-0.736297416,-0.640216105,-0.802243204,-0.777227106,-0.62876197,-0.659805588,-0.964741525,-0.689605191,-0.693898291,-0.79153398,1.760402387,-0.690192875,-0.799012889,-0.756696398,-0.768923332,-0.762292964,-0.918477599,-0.652291726,-1.207386365,-0.962059644,-0.686741626,-0.947397709,-0.544964601,-0.670608358,-0.613287273,-0.42550738,0.345389447,-0.74834773,-0.676113318,-1.318828689,-0.698176186,-0.679929454,1.373351978,-0.731302953,-0.75499456,-0.794756473,-1.246816245,2.606829767,0.465850332,-1.135290983,-0.765608369,-0.846399362,-0.839511034,-0.671148787,-0.832811818,-0.561247573,-0.019953034,-0.679361822,-0.6548828,0.507380841,-0.770439519,-0.795800171,2.242622012,-0.811957314,-0.681074052,-0.827503319,-0.613052595,-0.921578361,-0.745480675,-0.706752899
1,-0.73137918,-1.252333894,-0.621827834,-0.644762685,-0.773492288,-1.305107567,-0.445179163,-0.619098026,-0.637700796,-0.635278542,-0.601054754,-0.77638567,-0.662083707,-0.62301853,-0.650162989,-0.667308521,-0.634083721,-1.037695612,0.596215078,-0.634288183,-0.823714333,-0.711717335,-0.571836382,-0.722770469,-0.708979569,-0.568067428,-0.599030785,-0.89184985,-0.630633841,-0.616750622,-0.738195541,-0.981561121,-0.630409274,-0.754915897,-0.710556204,-0.688821669,-0.707090652,-0.851980453,-0.587134768,-1.120737171,-0.276722035,-0.628570226,-0.866594642,-0.501293019,-0.612217924,-0.564776592,-0.345170746,-1.099670406,-0.691749092,-0.589431753,-1.226492435,-0.643723173,-0.618813578,-0.65376644,-0.684281262,-0.704140425,-0.73606824,-0.069445947,-0.687794116,-0.86707395,-1.048924662,-0.721813386,-0.784947245,-0.790141747,-0.60170578,-0.770574443,-0.525385576,-0.746567312,-0.617606055,-0.524458829,-1.036447435,-0.71884682,-0.749537605,-0.697146158,1.100274343,-0.567623598,-0.775544509,-0.567525601,-0.8436814,-0.691711176,-0.656342679
1,1.837705427,1.854114661,-0.552236018,1.426897208,-0.746858126,1.278342802,3.787062387,-0.588491158,-0.60652942,2.745325505,2.235205668,2.283812618,-0.62365089,3.987653258,-0.622574045,-0.632163518,-0.558196813,-0.35591828,-1.039457857,-0.60353412,-0.798157324,-0.700289066,1.363236152,2.609872007,2.615634941,2.49363852,-0.530244978,-0.283184104,2.38210933,-0.538610316,-0.715245707,2.053740854,2.322882132,-0.725747273,-0.667285433,1.775576192,-0.674485453,-0.182480524,-0.556587583,-1.085336276,-0.845913511,-0.593329788,-0.833884827,1.951246261,-0.581368183,-0.530176621,-0.313538598,0.607991871,-0.667819582,-0.52474603,-1.18888581,-0.571061993,-0.587571188,-0.624956375,-0.660010804,-0.673994631,-0.711203372,-0.448350956,4.614579197,0.879550324,-1.014011302,-0.696411437,-0.758931103,-0.76851204,0.38596876,-0.744376911,-0.493364403,0.450528168,-0.592507892,-0.452196927,-1.004703676,-0.695305205,-0.729213065,-0.62335974,-0.749877644,-0.498573009,-0.753002283,-0.548217591,-0.81213953,-0.663435938,-0.589275892
1,-0.717861587,-1.236015805,-0.590419167,-0.630018533,0.17331537,0.762473649,-0.428805234,2.698743661,-0.623621066,-0.620085598,-0.591978193,-0.761776839,-0.649670998,-0.612164597,-0.637747053,0.316474218,-0.60135433,-0.721688245,-1.058475028,-0.620397478,-0.812315508,-0.706689129,-0.559681754,-0.708581005,-0.696520411,-0.557062866,-0.567985892,0.895163289,-0.617246949,-0.581483791,-0.727966787,0.53704574,2.43076727,-0.741980333,-0.69881335,0.226690493,-0.692375014,-0.83948941,-0.57333002,-1.104836298,-0.864394528,-0.616038297,-0.851881997,-0.483040869,1.645250102,-0.552999325,-0.330894303,0.0123969,-0.681054037,-0.560237339,-0.798052865,-0.61092922,-0.604699707,-0.640775908,-0.67519281,-0.690548839,1.383919981,0.116094101,0.46235713,-0.852256183,-1.03322063,-0.712178054,-0.773322763,-0.780529496,-0.573192181,-0.758858608,-0.518379965,-0.732701016,-0.606322252,-0.491845081,-1.022252455,-0.708931651,-0.740509332,-0.663844354,-0.760497443,-0.536459202,-0.765510944,-0.558900568,-0.323521614,0.235144705,-0.626916372
1,-0.796334413,-0.641804783,-0.694097575,0.683269432,-0.829397215,-0.09984992,-0.515324482,1.415542764,-0.685536536,-0.694404804,-0.028214047,-0.847945077,-0.708567886,-0.674494874,-0.709767582,-0.713546656,-0.688137621,0.396260152,-0.685005458,0.574918261,-0.876071777,-0.733435979,-0.191983155,1.291753231,-0.317283268,-0.621009656,-0.654399378,0.257915409,-0.683658178,-0.689851095,-0.785013584,-0.397312681,1.484093111,-0.793720156,-0.751119105,-0.349820586,-0.755735123,-0.910213854,-0.645721161,-0.836208657,-0.072882319,-0.681451901,-0.937105852,-0.539874609,-0.664209061,-0.607268057,-0.415053593,-0.27812222,-0.741350104,-0.670818533,-1.307107972,-0.693560434,-0.673438923,-0.70468375,-0.725589602,-0.749090234,-0.109773934,0.4489789,0.749073683,-0.938565105,-1.124271305,-0.76033702,-0.838806189,-0.833545273,-0.66566254,-0.825092199,-0.556927594,-0.814132006,-0.671520916,-0.647721425,-1.10252429,-0.764143397,-0.790219886,-0.7330676,-0.073293563,-0.676676873,-0.821184842,-0.607434186,-0.463224815,-0.738879008,-0.701189671
1,-0.822407552,-0.067340149,-0.705646078,0.086628826,0.61556904,1.859310929,-0.076546739,-0.689889833,-0.703381251,0.071120016,-0.658928894,-0.877412694,-0.722573058,1.549045571,0.770690984,-0.730065144,0.787197437,1.393777737,-0.735480042,0.824778992,-0.895942636,-0.741109518,-0.232563314,0.359252889,0.260549258,0.36258372,-0.669049226,-0.516731093,-0.69979043,-0.700757577,-0.138043462,1.623397304,1.025573072,0.053924338,-0.766208189,0.508609557,0.047723366,-0.932730956,-0.663599612,-0.3413331,0.287542077,-0.695769373,-0.965336354,-0.553710377,0.103892927,-0.623660904,1.149636194,-0.469835153,-0.760389267,-0.68515231,-0.986090929,-0.706022229,-0.691080914,1.29054711,-0.74106658,-0.765081551,0.24166559,0.243737441,1.127075969,1.599703343,-0.249903445,0.010498876,0.119972269,-0.849684654,-0.68052899,-0.846114789,1.229563979,-0.461289118,0.211951166,-0.663512574,-1.128037894,-0.781217412,-0.805309669,-0.743999308,-0.8207181,-0.688540693,-0.838305166,-0.622714182,-0.509457048,-0.756808614,-0.716255795
1,1.435531869,0.332412305,-0.500454065,-0.587958634,-0.726579392,0.654138456,-0.381904729,-0.565781864,-0.583410267,1.432201991,1.688693953,0.751795809,-0.564571871,0.722206976,0.885736676,-0.579992732,-0.499668886,1.066123259,-1.013308173,-0.580722042,-0.778453234,-0.691091079,1.372553934,1.075834141,-0.660427749,0.516862406,-0.47906276,-0.838517978,2.204438163,-0.480467592,-0.696470136,1.459382201,-0.573610451,-0.682955562,-0.613819389,1.0089725,-0.650240528,-0.802725979,-0.533968979,-0.632597129,0.219567179,-0.532092916,-0.809311957,-0.419141238,-0.558499043,-0.499225684,-0.290001715,-0.356173623,-0.646668004,-0.476614608,-1.160532912,-0.516996183,-0.564410493,2.005400945,-0.612035345,-0.625627619,-0.692136896,-0.770341363,0.88975189,1.258523927,-0.987776979,-0.65929791,-0.738984907,-0.751645668,-0.491519535,-0.724346247,-0.451051354,-0.692976686,-0.020313369,-0.398428213,-0.980420714,-0.671928069,-0.704465307,-0.568456661,0.253099643,-0.447193771,-0.735510803,-0.517336532,-0.788439044,-0.621998803,-0.538229878
