"","GBM_ge$X","ENSG00000239961","ENSG00000160185","ENSG00000101425","ENSG00000231027","ENSG00000198722","ENSG00000154016","ENSG00000132386","ENSG00000118520","ENSG00000197353","ENSG00000147174","ENSG00000115590","ENSG00000186854","ENSG00000103175","ENSG00000159713","ENSG00000078018","ENSG00000117318","class"
"62","Control-2",1.473528551,-1.229270809,-0.880212321,-0.064547198,-0.970170029,-0.809323845,1.035258811,-0.822957015,0.388606595,-1.092470648,-1.147181148,-1.342250126,-0.696723748,-0.934824969,-1.428085304,0.200189527,"HC"
"63","Control-3",-0.806682733,-1.196161881,-0.84769709,-1.10230534,0.089061225,0.135095273,-0.95541248,-0.791727014,-0.725455594,-1.058196571,-1.113002125,-1.306834914,-0.22020471,-0.910020687,-1.390246751,1.261345819,"HC"
"64","Control-4",1.176031679,-1.185210677,-0.837117605,-1.092899105,-0.927869051,-0.788226168,1.335670392,-0.781534198,0.516291851,-1.046952599,-1.101863043,-1.295144254,-0.666894524,0.766330667,0.70633623,-0.362806174,"HC"
"65","Control-5",-0.768675168,-1.120197163,-0.775887303,0.902560918,0.240091734,-0.754624643,-0.891389712,-0.72228671,0.708020992,0.995603358,-1.037167231,-0.088982294,-0.6226501,1.786761451,-1.30450216,0.195014163,"HC"
"66","Control-6",2.151389486,-1.016888628,-0.969719394,1.278606476,-1.05555515,-0.17456575,-1.052832101,0.04854745,-0.783963622,-1.184488741,-1.240985668,-0.128601507,-0.754875444,0.851469551,1.037979902,2.311547349,"HC"
"67","Control-8",-0.867231285,0.736963021,1.008714644,0.717040865,-1.078449332,-0.855898441,-1.070663142,-0.931168512,-0.794053026,-0.360659527,-1.26681261,-1.460049257,-0.769942504,1.087422023,-0.585606628,1.36766975,"HC"
"68","Control-9",-0.857758346,0.155853706,-0.967662233,0.583849362,-0.041615315,0.321502472,-1.051316102,-0.906072529,-0.783096904,-1.182414299,-1.238832106,0.035326492,-0.753599757,0.694709862,-1.223946815,0.389939687,"HC"
"69","Control-10",-0.837844975,-1.265404089,-0.916709187,-1.160497388,-1.005407366,-0.825629295,-1.012356781,-0.857815187,-0.760345772,-1.130416326,-1.185466227,-0.651132699,-0.721076741,0.650472678,-1.469817804,0.388000186,"HC"
"70","Control-13",2.57932369,0.851792135,-0.997745229,-0.564584374,-1.081539218,2.704553908,0.977219274,-0.934306361,0.069845795,0.714394651,-1.270324314,1.000405081,-0.771957635,0.761717472,0.337989593,2.215119377,"HC"
"71","Type-Unknown-3",1.738464586,1.024187977,0.331303878,0.628007653,-0.719326397,-0.454440587,1.858291404,-0.57795612,0.548215372,-0.822450384,0.498822568,-0.060110702,-0.471343897,0.045836187,-0.669103922,-0.281115439,"HC"
"72","HD-17-1",2.258071075,0.776228074,-0.522727454,-0.762943656,-0.603767225,-0.177030587,0.144388359,0.184643701,0.804690899,-0.705156005,-0.772866304,1.170918103,-0.335223251,-0.553083723,0.057466649,1.654872119,"HC"
"73","HD-18-2",-0.420131253,0.833007133,-0.57459984,0.47985853,-0.656541317,1.050056717,0.773571031,-0.495758587,-0.314740121,0.687027257,-0.235598532,1.6646081,-0.39291967,-0.633945778,-0.042330456,1.075049427,"HC"
"74","HD-21-1",-0.247048486,0.316135621,-0.481972075,1.741973034,-0.556611073,-0.089589348,0.987695328,-0.390315762,1.738376964,-0.055292047,-0.738228934,0.816435665,-0.292317234,0.874660026,-0.416294863,0.006577399,"HC"
"75","HD-24-2",-0.152592961,0.591597864,-0.429822739,-0.613719437,-0.496271505,0.022297785,-0.488448612,-0.332773018,-0.072127683,0.825241351,0.53043445,1.185564488,-0.237416009,-0.416005985,-0.004656842,0.550825904,"HC"
"76","HD-25-2",-0.145897967,0.744743204,-0.426126402,-0.607782354,-0.491994646,0.030228328,1.552518616,-0.328694397,1.922693865,-0.611009259,-0.285442917,0.826068869,-0.233524619,-0.410552166,0.001776971,1.106796595,"HC"
"77","HD-26-2",-0.393643284,1.379710431,-0.562907745,-0.806859607,-0.644309232,1.081432996,-0.67355042,-0.479621993,-0.290719967,-0.74135316,0.170756807,0.738081905,-0.377523832,-0.612368372,-1.03229897,0.276472295,"HC"
"78","HD-27-2",-0.104337035,0.913318834,-0.403180418,-0.570926351,-0.465444916,0.079459259,1.414664394,-0.303375284,-0.028367639,-0.58367295,-0.672354146,1.244643514,-0.209367789,-0.37669615,0.041804537,-0.647597101,"HC"
"79","HD-29-2",-0.405974014,0.46595229,-0.568502097,-0.813120912,-0.649998639,1.066826651,0.065462933,-0.487133931,1.945985375,-0.747515033,-0.813185967,-0.135035235,0.230959068,-0.622413127,-1.039435551,-0.837284856,"HC"
"80","HD-30-2",-0.089164108,0.474903857,-0.394803375,1.296268011,-0.455752229,0.097432324,-0.43974179,-0.294131867,2.927028178,-0.573693101,-0.665447319,0.610493977,-0.200548693,0.518564323,-0.857214636,-0.635487575,"HC"
"81","HD-31",1.952247768,0.7138072,-0.590419855,-0.83874862,-0.673469959,-0.337884281,0.437638429,-0.518012053,-0.347865555,0.766856192,-0.48255374,0.664700201,-0.414151583,-0.663702498,-1.068763557,0.20651599,"HC"
"82","HD-32-2",-0.209492927,0.796660023,-0.461237475,0.754866189,-0.532620034,2.601780579,1.465837736,0.655860609,-0.123726426,-0.650486434,-0.325886232,1.039898989,-0.270488482,-0.462357357,-0.925979809,0.042604695,"HC"
"83","HD-33-1",0.175661527,0.813865834,0.471774148,1.653966891,-0.359804298,2.978608097,0.315161003,0.126726748,1.522080619,-0.493565542,0.468832358,1.481782463,-0.602004034,1.175987036,0.133721325,1.448433247,"HC"
"84","HD-35-2",-0.659726396,0.311622143,-0.680264109,-0.241238324,-0.247862859,-0.578426266,-0.16239144,-0.629148647,0.417329836,-0.079029334,-0.039254683,-0.657581905,-0.532181685,-0.766216665,-1.185622227,-0.013118033,"HC"
"85","HD-36",-0.164356651,0.162833213,-0.436317527,-0.624151413,0.76936423,0.008363126,-0.497481914,-0.339939512,-0.082795381,-0.623150283,0.117562569,0.913549629,-0.244253523,-0.425588824,-0.015951879,1.082269306,"HC"
"86","HD-37-2",-0.466441124,1.566405672,-0.594676262,1.0047043,-0.67801327,0.995200439,-0.711106193,-0.523970775,0.66325454,-0.777826952,0.012720202,0.874501364,-0.419836768,0.928043013,-0.59727516,1.799179132,"HC"
"87","HD-38-2",-0.565279245,1.643136265,-0.156192562,1.508008226,0.145766136,1.670061514,0.989500292,-0.584183417,2.272536255,0.837637341,0.490087992,1.673807137,-0.477285328,0.035995948,-1.131460518,1.526518309,"HC"
"88","HD-44-2",2.209866563,1.945698306,-0.620222001,1.574419381,-0.145292754,0.897545465,1.620030222,-0.559501154,0.587122758,0.042083041,-0.309173098,1.155487584,-0.453736113,1.738779275,-1.108111072,1.516236236,"HC"
"89","HD-47-1",-0.312364179,-0.832397182,-0.518033173,0.115446105,-0.598335691,1.177712022,1.481626506,1.152573933,-0.217013428,-0.107366506,0.955875653,0.36606118,-0.330281255,1.139126559,-0.985282408,-0.055651101,"HC"
"90","HD-48-1",-0.12766478,1.621035836,0.861952877,1.94056564,-0.48034702,0.051826418,1.868583969,0.330296914,-0.049521998,-0.599016553,0.384759506,0.847258375,-0.222926781,1.39995292,-0.316336654,0.579748084,"HC"
"91","HD-49-1",-0.535660576,1.40225213,-0.625024603,-0.117559816,-0.710264742,0.877699117,0.63402685,-0.566139586,2.725071047,-0.81266969,0.141559072,0.852874243,-0.460069805,-0.713291455,-0.156938664,-0.905068695,"HC"
"92","HD-50-1",-0.199530902,1.286292375,-0.455737395,0.237410999,-0.526256147,-0.033302474,-0.524492114,-0.361367829,-0.114692537,-0.645648368,-0.71612334,1.839857803,-0.264698166,-0.454242176,-0.376612696,1.035692628,"HC"
"93","HD-51-1",0.832306729,1.593532344,0.022003294,0.631545272,-0.592270291,-0.155711923,2.422438772,-0.424322125,2.786664645,-0.099809982,-0.764390592,1.707870921,-0.324762523,1.152336287,-0.462712998,1.236216058,"HC"
"94","HD-53-1",-0.266510194,0.733896308,0.046761627,1.306551638,-0.569043496,-0.112642681,-0.575925308,-0.402171925,-0.175431541,0.279469866,-0.126661374,0.887623784,-0.303629136,-0.508804284,-0.958807913,0.419913222,"HC"
"95","HD-54-1",-0.294014518,0.585022877,-0.507902239,0.135108387,0.033519025,1.199448083,-0.597045794,-0.418927686,-0.200373357,-0.691886039,-0.760227508,1.356705098,-0.319615718,1.43020927,-0.455364874,1.094813215,"HC"
