"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977","cancer_type"
"VU417-GBM-vIII",-0.702929667944849,-0.681938963293479,-0.694278628550428,-0.605759000870055,-0.697989993161908,-0.692675087673281,-0.702063828877462,-0.654782548588438,-0.691156195652847,-0.55010894381216,-0.673693715741862,-0.615558592456324,-0.431164168466206,-0.682970355354445,-0.561721442446808,-0.658618324879337,-0.683857550937173,"GBM"
"VU418-GBM",-0.620302942630524,-0.619770339386205,-0.637945967741662,-0.551184437691427,-0.635107632549676,-0.631443200542165,-0.620412208142924,-0.5877069975616,-0.630525351134531,-0.504684521140731,-0.613248508657329,-0.566178844347861,-0.34848349917018,-0.619796677338936,-0.480344733148609,-0.522803877442941,-0.564582390842177,"GBM"
"VU419-GBM",-0.550542412720948,-0.588816087905878,-0.606493865472979,2.04678879878429,-0.55623802649031,2.38005901365224,-0.540921539378281,-0.556855392779527,-0.589319994324143,1.97259908031093,-0.582082085538673,-0.530219001358812,-0.315928399041901,-0.58821371028165,-0.435927226485545,-0.450293387419726,-0.495573569810049,"GBM"
"VU421-GBM",-0.588818131061254,2.69874279532623,-0.623737589027747,-0.538762683374281,-0.599511648853162,-0.617864306630258,-0.58453592207092,-0.573762664268554,-0.61774300068999,-0.483914204872291,1.64486828891701,-0.553142562249549,-0.333790503080756,-0.605526948295616,-0.460297912554274,-0.490077934590505,-0.533436845795004,"GBM"
"VU422-GBM",-0.698453192766906,1.41651899552557,-0.687546665003571,-0.599312586939287,-0.692417037455678,-0.686525948004298,-0.69780412976236,-0.648031630092948,-0.685650971615239,-0.544848629235222,-0.667110613118142,-0.609422671959023,-0.420405364175184,-0.676291524178185,-0.556488037947098,-0.650493385988584,-0.679273322200151,"GBM"
"VU425-GBM",-0.71053017654764,-0.693051019849136,-0.70585986679285,0.00776263567203732,0.794302659681545,-0.703215947137181,-0.70928922243911,-0.666410643600612,-0.70056029719819,-0.559154686292129,0.10508387105312,-0.626139581593787,1.18332091604315,-0.694454937479928,1.07950749631403,-0.667637469891468,-0.691648401880093,"GBM"
"VU429-1-GBM-vIII",-0.498634921991077,-0.565860408328684,-0.58317651424974,1.10689261569253,-0.497552644502774,2.20296390861009,-0.481774036379649,-0.528614261323339,-0.5281403067885,-0.41964021906895,-0.558988347371081,-0.499131288938816,-0.29170476484202,-0.56481138017634,-0.402876999969973,-0.396339703386947,-0.444225411436673,"GBM"
"VU430-GBM",-0.752331580905537,-0.757365888341629,-0.773353832307757,-0.203438327703853,-0.761252111636791,0.899313120918702,-0.7488636814819,-0.734532644923938,-0.753644100828754,-0.611784261100376,0.247268101019869,-0.68856428837949,0.421103452068708,-0.761225808978998,-0.208703685598899,-0.718262125785603,-0.734666710483837,"GBM"
"VU431-1-GBM-vIII",-0.705278972676183,1.0671758478852,1.36683308554458,0.425685362039228,-0.700924765419979,1.66313483298073,-0.704298138152309,-0.658354187233877,0.837776916479658,0.0344296793772178,-0.677173430823013,0.744023464455779,-0.436926252750146,-0.686500528843217,0.38352925793306,-0.661421426199146,-0.686264694264682,"GBM"
"VU436-1-GBM-vIII",0.0107269045417825,1.23842825502541,-0.0809782541895905,0.825094049489655,0.0783197958643644,2.70477311903281,0.0986331406696823,0.0214064042310618,0.0722084473445152,1.90616891357899,-0.0268221717199182,-0.194071387981977,-0.0540012197887071,-0.0101856751413714,0.630603147228964,0.133101166527607,0.0596477554296663,"GBM"
