"","GBM_ge$X","ENSG00000124107","ENSG00000103037","ENSG00000155275","ENSG00000155659","ENSG00000134121","ENSG00000128596","ENSG00000254977","ENSG00000075131","ENSG00000211786","ENSG00000086548","ENSG00000096696","ENSG00000073712","ENSG00000232021","ENSG00000112077","ENSG00000117643","ENSG00000175445","ENSG00000166428","ENSG00000117519","ENSG00000156042","ENSG00000117560","ENSG00000049768","ENSG00000198178","ENSG00000012223","ENSG00000204219","ENSG00000196081","ENSG00000137103","ENSG00000114739","ENSG00000181007","ENSG00000152583","ENSG00000239219","ENSG00000196634","ENSG00000184206","ENSG00000239961","ENSG00000160185","ENSG00000101425","ENSG00000231027","ENSG00000198722","ENSG00000154016","ENSG00000132386","ENSG00000118520","ENSG00000197353","ENSG00000147174","ENSG00000115590","ENSG00000186854","ENSG00000103175","ENSG00000159713","ENSG00000078018","ENSG00000117318","class"
"21","VU430-GBM",0.310246965,-0.771902178,-0.819538056,-0.065815458,-0.738197676,-0.721449911,-0.729621598,-0.933398803,-0.824551892,-0.598735219,-0.768894674,1.680684414,-0.312242263,1.619923298,-0.766551272,0.245465016,-1.077129689,-0.766571109,-0.83784453,-0.968190548,-0.745468662,-0.879843273,0.45633876,-1.275233916,-0.749387362,-0.866597304,-0.226463384,-0.830702075,-0.229456827,0.915325412,1.756296377,-0.736044348,-0.869169229,-1.059974817,0.333204742,-1.223397661,1.927014709,-0.85789656,-1.074691037,0.544992469,-0.796305365,1.071800648,0.54003216,-0.96870526,1.283421667,-1.016987207,1.743295004,-1.286132443,"GBM"
"22","VU431-1-GBM-vIII",-0.067894031,0.16950599,-0.759630754,0.46380099,-0.696020151,-0.662654028,-0.683381877,0.367615301,0.042633933,-0.524924323,1.366426475,-0.712026773,-0.773759011,1.179165244,1.003279739,-0.673989342,-0.489117945,-0.692815524,-0.765752326,-0.228552578,-0.70062699,0.584690865,1.229774646,-0.008570385,-0.70060016,-0.794973089,0.062489736,-0.752047869,0.042144193,0.718029784,-0.712524941,0.124711268,-0.110646331,1.021781097,0.698350501,1.090566966,-0.282997297,0.089153161,-0.969574791,0.492494191,-0.030605276,0.549229462,-0.150136882,-0.547719841,0.031841978,0.920220346,-0.302229472,0.351305204,"GBM"
"23","VU436-1-GBM-vIII",0.96653412,0.01516328,1.05806309,1.582674528,0.090079812,0.023182051,0.056984372,-0.410023302,-0.098077006,3.877452599,-0.083629015,-0.042348315,-0.161825264,-0.254962961,-0.566838569,-0.029549886,-0.524076674,-0.082371907,-0.078258178,-0.34933285,0.00767588,-0.25686478,2.295540052,-0.726322795,0.013544962,-0.221653706,-0.068047221,-0.206954215,2.229819511,1.148361868,0.067398016,-0.004306873,-0.228825752,-0.788871349,2.174477211,-0.681322254,2.030074776,-0.068003639,0.694459447,2.285668856,-0.141258061,-0.040727788,1.53203048,-0.304217891,-0.281725472,-0.478106101,2.129441677,-0.744211089,"GBM"
"24","GBM-438",0.352092378,-0.380597445,-0.447323992,-0.561762444,-0.299408825,-0.319679289,-0.287196772,-0.661403207,-0.481198835,-0.297841505,-0.44448323,3.053838982,-0.517252914,-0.491241769,-0.658435248,-0.410116299,-0.732014919,-0.43116397,-0.477186583,-0.700341777,-0.339202992,-0.583867306,0.283647629,-0.905090023,-0.348633091,-0.553589554,-0.417530819,-0.522579527,-0.451715622,-0.397486282,0.993345302,-0.326731434,-0.583223903,-0.973923527,-0.646086763,-0.901700405,1.408577996,-0.487805368,-0.764708415,-0.011640048,-0.462637848,1.865843589,0.435124013,-1.070669342,1.591153796,-0.733768794,1.241123216,-0.929687277,"GBM"
"25","VU439-1-GBM-vIII",-0.754859259,-0.700227347,-0.742142816,-0.74213834,-0.683298451,-0.645719647,-0.669570605,0.023373127,-0.751839958,0.295345183,-0.675052466,-0.689992297,-0.754045841,-0.696033619,-0.728768186,0.212835134,-0.920870446,-0.672228173,-0.745227627,0.630337432,-0.687170014,-0.775939025,0.488516052,-0.299664051,-0.686108401,-0.774563242,-0.703784445,-0.730182204,-0.671035227,-0.726488674,-0.696405427,-0.662305089,-0.798484137,-1.179072289,0.80666398,-1.08760307,-0.922027672,-0.785179831,-0.941140627,-0.775849188,-0.716411918,-0.627866903,0.38491889,0.372849569,-0.662727952,-0.897052492,-1.370840955,-0.35032949,"GBM"
"26","GBM-440",1.676546082,0.92784138,0.158744197,3.115462126,0.393236655,-0.63799514,-0.655128612,-0.278359717,1.814803581,3.558913169,-0.666222318,-0.680528906,0.07553687,0.92643175,1.777859158,2.159233628,1.679946122,0.664669716,-0.736347878,0.943807823,1.418028669,-0.766198075,2.281483536,1.061717578,0.28203663,-0.008416889,0.174744619,-0.720785431,-0.661175017,-0.720856713,0.392485186,-0.65508227,-0.791393337,1.233635683,2.469490032,0.310272061,0.819741064,0.875112074,0.489369235,1.998878706,-0.708633704,-0.605921479,1.88272347,1.363588914,0.497534033,-0.886002582,0.520579105,1.506404945,"GBM"
"27","VU443-1-GBM-WT",0.313618215,0.779116071,-0.489793931,0.777890713,-0.345593614,-0.360335105,-0.328009088,-0.678274645,-0.526628661,0.245503157,-0.487272606,-0.469063602,-0.559398818,3.717751528,1.244464557,2.422497876,-0.751799049,-0.47252304,-0.524490721,-0.726896565,-0.380335199,-0.622642616,1.386307995,0.532846997,-0.391579445,2.156767934,-0.45897189,-0.56000575,1.714712477,2.761512857,-0.440798962,-0.364963897,1.096134711,0.237353395,1.125240582,-0.922177694,0.313391101,-0.537584623,-0.783784684,-0.614065041,-0.500746424,0.919436077,0.879049223,0.169322853,1.162589012,-0.75167476,0.986707575,-0.951285533,"GBM"
"28","VU445-1-GBM-WT",-0.523326887,-0.264026533,-0.341828241,-0.505675905,-0.184685351,-0.218689836,-0.185818572,-0.59072068,-0.368350697,-0.244576892,-0.338193995,-0.311463868,-0.412562067,-0.42164609,-0.634474954,-0.298020856,-0.682876044,-0.328427629,-0.359682634,-0.596952461,-0.237030179,-0.487549051,-0.015321013,-0.852279812,-0.24195392,-0.455818193,-0.314590787,-0.429612418,-0.349593502,-0.289155067,-0.253105409,-0.231761613,-0.478836295,0.088120515,0.548326713,-0.849897017,-0.683776425,-0.364153203,-0.716825419,0.414482308,-0.367975764,-0.238947429,0.524015686,0.016553507,-0.427041323,-0.681767585,-0.607371509,-0.875462831,"GBM"
"29","VU454-1-GBM-WT",-0.013147691,-0.748672927,0.336776822,4.080781273,-0.720757381,-0.696612957,-0.710415514,-0.471868727,-0.801062773,-0.566263979,1.908018194,-0.757275516,-0.813458858,1.108646683,-0.754872407,2.702555219,0.356302819,-0.734954553,0.383520895,0.730649364,-0.726883306,-0.844977788,0.730613996,0.274168143,-0.729070613,-0.259280464,-0.761295551,0.41244981,-0.109757623,0.444417456,1.030218576,-0.042185555,-0.846461626,-0.0348518,0.50440358,0.592051945,1.26796678,-0.834498902,-0.61468013,1.865010945,-0.770144838,1.237782905,2.273702151,-0.557784044,1.242730934,-0.976255079,1.514210274,0.049068946,"GBM"
"30","VU456-1-GBM-WT",1.523693216,-0.604886976,-0.65030424,0.272259331,-0.520143776,-0.513989144,0.593545959,-0.740457659,-0.689602365,0.130850672,-0.599178255,0.443118253,-0.687881952,-0.616015998,-0.697433207,0.453983589,-0.826099395,-0.596280791,1.071086666,-0.791960568,-0.535789704,-0.705197539,0.400372834,0.648015202,-0.55389031,-0.709672523,-0.615593708,-0.662044153,-0.590073672,3.78486589,1.929539004,-0.509459151,-0.74519181,0.076010921,-0.042480568,-0.997050027,1.731383933,-0.7187346,-0.854276841,0.664217499,-0.644773459,0.804073779,1.887275158,0.501140676,1.975928969,-0.81733165,1.067324632,-1.031195746,"GBM"
