"","ENSG00000005381","ENSG00000049768","ENSG00000073712","ENSG00000075131","ENSG00000086548","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000112077","ENSG00000114739","ENSG00000115423","ENSG00000117519","ENSG00000117560","ENSG00000117643","ENSG00000118113","ENSG00000124107","ENSG00000124469","ENSG00000128596","ENSG00000132386","ENSG00000133063","ENSG00000134121","ENSG00000137103","ENSG00000152583","ENSG00000154016","ENSG00000155275","ENSG00000156042","ENSG00000159899","ENSG00000163687","ENSG00000165138","ENSG00000166428","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000181007","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197353","ENSG00000197457","ENSG00000198178","ENSG00000198502","ENSG00000198610","ENSG00000211786","ENSG00000211793","ENSG00000211800","ENSG00000213160","ENSG00000225113","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000232021","ENSG00000237702","ENSG00000239219","ENSG00000239961","ENSG00000254977","ENSG00000256862","ENSG00000266088","ENSG00000266371","ENSG00000268632","ENSG00000269161","cancer_type"
"VU402-2-GBM",1.51081236371951,-0.504092867637063,0.885266203994036,-0.73287211537662,1.94469026260795,-0.449675359086114,-0.50884989360878,-0.458221166086452,1.13797824222105,-0.502737008274873,-0.530944400209749,0.522693233257612,-0.443851632888024,-0.492205304226604,-0.682404623927004,-0.695071002933568,3.32468308149719,0.745037430736284,1.84974055839782,-0.48551402693301,-0.827659933261152,1.24904747481281,-0.450589165201014,-0.67766395689567,0.86686023190298,-0.575716818273268,-0.607941775369872,-0.527954826294125,-0.439765002258775,-0.740964223509046,-0.454763048708803,-0.782395946637642,0.258024276980959,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.6152337154774,-0.539840567297763,-0.49084846686413,-0.449673180451552,2.28131560478123,-0.584516259022239,-0.554620084119104,-0.624231067142604,-0.577620625089964,2.09111370782047,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.682025256037862,0.211307307406338,-0.427419269955464,-0.59759168014289,-0.645777537662684,1.96042629767965,-0.636684481310347,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
"VU406-2-GBM",1.03811829297098,-0.504092867637063,-0.470263139386551,-0.73287211537662,0.973701367721041,-0.449675359086114,-0.50884989360878,0.380743868388737,0.587519905780045,-0.502737008274873,1.24883067889372,-0.554462633501151,-0.443851632888024,-0.492205304226604,-0.682404623927004,-0.695071002933568,1.8155351844195,0.189494241115066,0.810643241137365,-0.48551402693301,-0.827659933261152,1.67880507047664,-0.450589165201014,-0.67766395689567,-0.490986750038817,-0.575716818273268,-0.607941775369872,-0.527954826294125,-0.439765002258775,-0.740964223509046,-0.454763048708803,-0.782395946637642,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.6152337154774,-0.539840567297763,-0.49084846686413,-0.449673180451552,-0.409470243074914,-0.584516259022239,-0.554620084119104,0.409149460393431,-0.38901159580926,0.903295302716996,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,-0.59759168014289,-0.645777537662684,0.834554033121665,-0.636684481310347,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
"VU408-GBM",0.10314429437878,0.617943615239945,0.303924350431148,0.748878417368837,0.246258112065427,-0.449675359086114,-0.50884989360878,0.556659408778413,-0.517190536167296,-0.502737008274873,3.69474992908178,-0.554462633501151,-0.443851632888024,-0.492205304226604,-0.682404623927004,0.386926882724239,-0.476853862650794,-0.137257363557325,0.211218183674057,-0.48551402693301,-0.827659933261152,-0.455326700619484,-0.450589165201014,0.149006940449455,0.489401040789751,-0.575716818273268,-0.607941775369872,-0.527954826294125,-0.439765002258775,-0.740964223509046,-0.454763048708803,-0.782395946637642,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,1.42612503183067,-0.539840567297763,-0.49084846686413,-0.449673180451552,0.976479321661204,-0.584516259022239,-0.554620084119104,-0.624231067142604,0.701445665135334,1.07911654128738,0.401088290202324,-0.00369531074233273,0.201637081337278,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,0.588772764545444,0.667411612360579,0.641617220184932,-0.636684481310347,-0.504866704114067,0.981637317920666,0.891075929509885,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
"VU417-GBM-vIII",-0.622803829285566,-0.504092867637063,-0.470263139386551,-0.73287211537662,-0.378386851177617,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.517190536167296,-0.502737008274873,1.74843829329257,-0.554462633501151,-0.443851632888024,-0.492205304226604,-0.682404623927004,-0.695071002933568,-0.476853862650794,-0.644579436713602,-0.515156666879565,-0.48551402693301,-0.827659933261152,-0.455326700619484,-0.450589165201014,-0.67766395689567,-0.490986750038817,-0.575716818273268,-0.607941775369872,-0.527954826294125,-0.439765002258775,-0.740964223509046,-0.454763048708803,-0.782395946637642,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.6152337154774,-0.539840567297763,-0.49084846686413,-0.449673180451552,1.17945917341806,-0.584516259022239,-0.554620084119104,-0.624231067142604,-0.93969794690545,4.7291997164349,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.104726583321232,-0.592767931218722,-0.427419269955464,-0.59759168014289,-0.645777537662684,2.11910781501232,-0.636684481310347,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
"VU418-GBM",-0.622803829285566,-0.504092867637063,-0.470263139386551,-0.73287211537662,-0.378386851177617,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.517190536167296,-0.502737008274873,-0.530944400209749,-0.554462633501151,-0.443851632888024,-0.492205304226604,-0.682404623927004,-0.695071002933568,-0.476853862650794,-0.644579436713602,-0.515156666879565,-0.48551402693301,-0.827659933261152,-0.455326700619484,-0.450589165201014,-0.67766395689567,-0.490986750038817,-0.575716818273268,-0.607941775369872,-0.527954826294125,-0.439765002258775,-0.171224199640124,-0.454763048708803,-0.782395946637642,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.6152337154774,-0.539840567297763,-0.49084846686413,-0.449673180451552,-0.409470243074914,-0.584516259022239,-0.554620084119104,-0.624231067142604,-0.213295826385935,-0.580575930301235,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,-0.59759168014289,-0.645777537662684,-0.518588722594602,1.18486178750566,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
"VU419-GBM",1.80543240066204,-0.504092867637063,1.08740263292371,-0.73287211537662,3.70463021348842,-0.449675359086114,-0.50884989360878,3.02033903557543,2.26854799861135,-0.502737008274873,-0.530944400209749,-0.554462633501151,-0.443851632888024,-0.492205304226604,-0.682404623927004,-0.695071002933568,1.26211773190966,2.63478137898355,2.4853010879155,-0.48551402693301,-0.189028161301115,2.19240853797001,-0.450589165201014,-0.67766395689567,2.43253136033379,-0.575716818273268,-0.607941775369872,-0.527954826294125,-0.439765002258775,-0.740964223509046,-0.454763048708803,-0.782395946637642,4.07658861543934,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.6152337154774,-0.539840567297763,-0.49084846686413,-0.449673180451552,-0.409470243074914,-0.584516259022239,-0.554620084119104,-0.624231067142604,-0.460136162419733,3.35438830181781,-0.569204097031386,-0.718784402270428,-0.717689049863235,0.539358020933724,-0.772959880621827,-0.46119392711915,0.239257938147539,-0.592767931218722,-0.427419269955464,-0.59759168014289,-0.645777537662684,-0.518588722594602,-0.636684481310347,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
"VU421-GBM",-0.622803829285566,-0.504092867637063,-0.470263139386551,0.242130315141499,-0.378386851177617,3.21259147173326,-0.50884989360878,-0.458221166086452,-0.517190536167296,-0.502737008274873,-0.530944400209749,0.424978005029623,-0.443851632888024,-0.492205304226604,-0.682404623927004,-0.695071002933568,-0.476853862650794,-0.644579436713602,-0.515156666879565,-0.48551402693301,0.77673421931208,-0.455326700619484,-0.450589165201014,-0.67766395689567,2.68764099979045,-0.575716818273268,-0.607941775369872,-0.527954826294125,-0.439765002258775,-0.740964223509046,-0.454763048708803,-0.782395946637642,-0.44670420852186,1.32319137318172,-0.534409221752732,-0.321813678624422,-0.6152337154774,-0.539840567297763,-0.49084846686413,-0.449673180451552,-0.409470243074914,-0.584516259022239,-0.554620084119104,1.18486560446844,-0.0717544445425078,0.511513566513885,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,-0.59759168014289,-0.645777537662684,-0.518588722594602,-0.636684481310347,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.313523413224156,0.298538088750329,-0.578189275152201,"GBM"
"VU422-GBM",-0.622803829285566,-0.504092867637063,0.575548747515532,-0.73287211537662,-0.378386851177617,1.11346825878956,-0.50884989360878,-0.458221166086452,0.224359283814417,-0.502737008274873,-0.530944400209749,-0.554462633501151,-0.443851632888024,0.54703722035946,-0.682404623927004,-0.695071002933568,-0.0811711245638018,-0.158926656579249,-0.515156666879565,-0.48551402693301,0.211382639330017,-0.455326700619484,-0.450589165201014,-0.67766395689567,1.12105304813633,-0.575716818273268,-0.607941775369872,-0.527954826294125,-0.439765002258775,-0.0403945813491119,-0.454763048708803,-0.782395946637642,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.6152337154774,-0.539840567297763,-0.49084846686413,-0.449673180451552,-0.409470243074914,-0.584516259022239,-0.554620084119104,0.0694377125388337,0.223767691492454,0.723414170415547,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,-0.59759168014289,-0.645777537662684,-0.518588722594602,0.284967513078258,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.395263312962733,-0.64512693066382,-0.578189275152201,"GBM"
"VU425-GBM",-0.622803829285566,-0.504092867637063,0.229851292867528,0.609889543889422,0.186493051369313,-0.449675359086114,-0.50884989360878,0.192295175776073,-0.517190536167296,-0.502737008274873,0.678731040559734,-0.554462633501151,0.794799439599491,0.708132109091278,-0.682404623927004,-0.695071002933568,-0.103063702383256,0.267668359404613,0.410628575028007,-0.48551402693301,-0.333683354243866,-0.455326700619484,-0.450589165201014,0.0699123519026494,0.758545151297922,0.345570558353856,-0.607941775369872,0.236843294070247,-0.439765002258775,0.191587553139413,-0.454763048708803,-0.782395946637642,-0.44670420852186,0.268956192126858,-0.534409221752732,1.51963467812099,-0.6152337154774,-0.539840567297763,-0.49084846686413,-0.449673180451552,1.12324569862058,-0.584516259022239,-0.554620084119104,0.300678947304989,0.0336894740934966,1.04090225081972,0.308252220389275,0.193960901531712,-0.717689049863235,-0.539511579136432,-0.772959880621827,1.22057444610929,-0.359260095123119,0.233090604880843,-0.427419269955464,-0.59759168014289,-0.645777537662684,-0.518588722594602,-0.636684481310347,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.420346008805015,-0.64512693066382,-0.578189275152201,"GBM"
"VU429-1-GBM-vIII",1.31043274442045,-0.504092867637063,-0.470263139386551,-0.73287211537662,-0.378386851177617,-0.449675359086114,-0.50884989360878,1.05673432709941,1.76656711795136,-0.502737008274873,0.805275754910276,-0.554462633501151,-0.443851632888024,-0.492205304226604,-0.682404623927004,-0.695071002933568,1.27749757951463,-0.644579436713602,0.569134034127094,-0.48551402693301,-0.827659933261152,1.89998245097002,-0.450589165201014,-0.67766395689567,-0.490986750038817,-0.575716818273268,-0.607941775369872,-0.527954826294125,-0.439765002258775,0.153953956386414,-0.454763048708803,-0.782395946637642,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.6152337154774,-0.539840567297763,-0.49084846686413,-0.449673180451552,1.65939574803454,-0.584516259022239,-0.554620084119104,-0.624231067142604,-0.64783093653101,0.863164017589585,-0.569204097031386,-0.718784402270428,-0.717689049863235,-0.539511579136432,-0.772959880621827,-0.46119392711915,-0.682025256037862,0.055389304470302,-0.427419269955464,-0.59759168014289,-0.645777537662684,-0.518588722594602,0.542260169475401,-0.504866704114067,-0.687212598123554,-0.583197955142975,-0.848603703086092,-0.64512693066382,-0.578189275152201,"GBM"
