"","ENSG00000005381","ENSG00000049768","ENSG00000073712","ENSG00000075131","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000115423","ENSG00000117519","ENSG00000117643","ENSG00000124107","ENSG00000128596","ENSG00000133063","ENSG00000134121","ENSG00000137103","ENSG00000152583","ENSG00000155275","ENSG00000156042","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197457","ENSG00000198178","ENSG00000198610","ENSG00000211786","ENSG00000211793","ENSG00000213160","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000232021","ENSG00000237702","ENSG00000239219","ENSG00000239961","ENSG00000254977","ENSG00000256862","ENSG00000266088","ENSG00000268632","ENSG00000269161"
"VU402-2-GBM",2.40762937646573,-1.46984815786715,-0.286408654754592,-0.714222349605338,-1.51388150373592,-1.38889225108481,-1.48119672208311,0.358097269432798,-1.50383222980084,-1.63324840856016,-1.4015243609143,-0.414846567785606,1.62542980178333,-1.57712816111071,-0.322834953918541,-1.60101780873898,-1.10720008302333,0.0320474034072952,-1.33190473584777,-1.38637273865925,-1.5829847767118,-1.59963787757765,-0.926544928470102,-1.47516329705794,-1.08591696712665,-1.45615053572695,-1.52309798619676,-1.49444321510747,-1.5064567056672,-0.215875936979574,-1.39386791274597,-1.07285807947566,1.74555926919411,-1.29105863776222,-0.918681811970287,-1.48091707058116,-1.46205995008909,-0.73709972024707,0.369082531191033,-1.77019411692303,-1.22216566899336,-1.09623493284215,-0.210353468033233,-1.0130732904443,-1.58954123892165,-0.973098512607814,-1.01462907470727,-1.31576424020132,-1.45099002443083
"VU406-2-GBM",1.84548562178524,-1.47504800553357,-1.49606465677852,-0.741496912130816,-1.52388381209069,-1.40106199421482,-0.69571839681877,-0.228334931082617,-1.51044012458852,-1.64015319426346,-1.4142371627765,-0.41902907187519,0.655370869264074,-1.58568897204841,-0.0668869097177147,-1.60507582739107,-1.12015401226367,-1.40602405441334,-1.3403390817639,-1.39650986986709,-1.59431479541511,-1.60625054194249,-1.45283139544541,-1.48602223074697,-1.10774310970428,-1.47579601615944,-1.53163886747432,-1.50026994820858,-1.51708151855422,-1.55704396162601,-1.40253441470382,-0.0922687468130509,0.630969361918659,-1.29827195098691,-0.9373681022788,-1.49058058678453,-1.47121232868221,-0.79426424363374,-1.05500464836958,-1.77678440977801,-1.23330032891961,-1.10545249643463,-0.850543464471097,-1.02092203764615,-1.59486655854856,-0.985379928689981,-1.03397387547916,-1.32847059422421,-1.45989127052557
"VU408-GBM",0.291241873725298,-1.03136900105202,-0.894029687746801,1.22239817926949,-1.49188938397038,-1.3622744177733,-0.496331260304956,-1.20574507638663,-1.48895785360309,-1.61708441067698,-1.37375791312675,0.1528469770019,-0.0306983581530788,-1.55806508409145,-1.51568091521798,-1.59171390410656,-0.544183249569002,-0.39994918154879,-1.31296369668012,-1.36396106534041,-1.55829756752713,-1.58482143031668,-1.41019101808165,-1.45137612915897,-1.03860645309496,-1.37535540429096,-1.5039802896125,-1.48121389977582,-1.48317615711556,-0.842761845666602,-1.37451704469692,-1.0372765466201,0.81151744555619,-0.824502962137059,-0.301551957414933,-1.45939699593672,-1.44139542695803,-0.620644983633281,-0.943502185889157,-1.75163800765694,-0.352239755802635,-0.284812013217357,-0.963486398042164,-0.99525935232903,-1.57740793578331,0.339866299762086,0.556024859670715,-1.28780810373259,-1.43110543980543
"VU417-GBM-vIII",-0.930633120903258,-1.46420404623014,-1.47053712010062,-0.685803877568747,-1.50329210059573,-1.37605259168772,-1.46565296203695,-1.2227192340855,-1.49672915273666,-1.62584859381698,-1.38812421523975,-0.41022307099107,-0.790799661154153,-1.5679899417147,-1.52583182112515,-1.59660394990286,-1.09343170077358,-1.37358688896905,-1.32285230098744,-1.37560236782415,-1.57106019256936,-1.59255075593078,-1.42535186418429,-1.46369480905518,-1.0630279783726,-1.42393894509994,-1.5139503737471,-1.48814507496966,-1.49523346637073,-0.709986915671569,-1.38460074738031,-1.05568366505702,2.24178768833858,-1.2832896356771,-0.899013636981736,-1.47060143380859,-1.45220134589787,0.832232183108118,-0.982057772323109,-1.76312360774965,-1.21031163733,-1.08632592655616,-0.129192014486621,-1.0045917684536,-1.58377206872032,-0.959987230569684,-0.994242529493109,-1.30230714062829,-1.44146885654308
"VU418-GBM",-0.828359725866347,-1.42944062039833,-1.4307633780044,-0.609467524994164,-1.46898566666801,-1.34007835646616,-1.41990209795487,-1.17931263998205,-1.47247452244598,-1.59781853548366,-1.3502949868081,-0.396362943342705,-0.685816700839161,-1.53299218770861,-1.49421583001814,-1.56757040023048,-1.0551679037728,-1.32860652356263,-1.29724366447413,-1.34481195433751,-1.53115603714856,-1.56592710121462,-1.38439175031802,-1.42829944410419,-1.00090937301504,-1.30421845116492,-1.46281484098223,-1.46261567890007,-1.45948379581105,-1.52294954651677,-1.35737548403909,-1.00870738613939,-1.01519176034524,-1.26116564005588,-0.845281578595202,-1.42611630324842,-1.42415250943378,-0.533730047448585,-0.885505765223515,-1.70081155135143,-1.17727634015406,-1.05820318015984,-1.34199316803095,0.0766133103387288,-1.53254968593789,-0.923248482542058,-0.938434156131818,-1.26516078411673,-1.41203533981834
"VU419-GBM",2.70052235420846,-1.39783814110032,-0.133861079741231,-0.577640165353221,-1.4514910372622,-1.31946452370802,0.897517322714114,1.39782433121483,-1.45443120380089,-1.56201550493315,-1.32915970654685,-0.389918812466949,4.42832934706183,-1.49338122014641,0.120989896941572,-1.53816328385494,-1.03870420846739,0.893409616628774,-1.27322760912257,-1.32662562317588,-1.51244798770322,-1.54979839822595,0.915875002151301,-1.40959881557131,-0.956603626650751,-1.25707910528581,-1.42465518251498,-1.42854968413355,-1.4412085909007,-1.51139545774784,-1.34123663550062,-0.988804605953454,4.22659653672888,-1.24833328857584,-0.822533772447281,-0.793412845434455,-1.39910770677801,1.71668982786038,-0.846266061773641,-1.66628731700164,-1.16220241986004,-1.04584800969635,-1.31155258628836,-0.969490971784444,-1.50137364739495,-0.907309450249166,-0.914765811241634,-1.24562699488894,-1.37287638820929
"VU421-GBM",-0.809792026137358,-1.41517756782247,-1.4215332317543,0.521951109409541,0.42746487812399,-1.33076733979523,-1.40948726562115,-1.17106532190721,-1.46664704279734,-1.58237698695508,-1.34074880243326,-0.393527656908481,-0.666651185372021,-1.51511468804814,-1.48703878756008,-1.55429817424425,-1.04783002536574,0.974580921473737,-1.29072616940354,-1.33660395441081,-1.52270157890292,-1.5601915383465,-1.36727283491167,-0.059857761045768,-0.985828418899951,-1.28294319100812,-1.44559235632011,-1.44724077524705,-1.4512279007066,-1.51773977850695,-1.35009909404161,0.688211284963723,0.121817836620365,-1.25629814089916,-0.835117448395058,-1.40785051633594,-1.41867319299734,-0.5076627965496,-0.867864112568256,-1.68522983179619,-1.17092756340165,-1.05271494550206,-1.32825451120787,-0.97549556898072,-1.51847909759412,-0.916154005109801,-0.927861329248848,-0.624847609910476,-1.39485390966547
"VU422-GBM",-0.917581916865581,-1.4622591782649,-0.599387576408666,-0.676272937317522,-0.30600201699348,-1.37171244159667,-1.46043341868507,-0.65880720502529,-1.49429776943759,-1.62332087142218,-0.519285549556599,-0.408609574146573,-0.083283059349802,-1.56487672371723,-1.52264348104106,-1.59508083897359,-1.08875411536444,0.262316206858347,-1.31975680337547,-1.37194457466178,-1.56703617361919,-1.5901297753859,-1.42057789796844,-1.45981565550994,-1.0553202887372,-1.40836034160243,-1.51082685319964,-1.4859810562059,-1.4914368366363,-1.54336960210195,-1.38143980776325,-0.507397760257047,0.405258360241229,-1.28062669809146,-0.892374372809277,-1.46708694866635,-1.44882254943957,-0.660744920383895,-0.969798914320687,-1.75970215080517,-1.20628017037598,-1.08293370352616,-1.35681255656291,-0.586939965449695,-1.58178676136695,-0.955519596828723,-0.987355312988169,-1.29774641609306,-1.43822059930082
"VU425-GBM",-0.953395853568307,-1.46750349198502,-0.972897038934513,1.05043652954684,-1.50944967127113,-1.38351326730766,-0.935662679853975,-1.23189934372441,-1.50087287401076,-0.927265814955621,-0.347572418362313,-0.412936501442754,0.805577865720185,-1.57331297932999,-1.53129237864378,-1.59918535557317,-0.624632288954427,-0.0826680115741728,-1.32813151562928,-0.923796336485766,-1.57798549519033,-1.59668253922469,-1.43355463471667,-0.99420428677783,-1.07631155828297,0.923395723169454,-1.51928269229545,-1.49182356301756,-1.50175650206217,-0.743195268585135,-1.39000091749621,-0.226092287043608,0.778941585237006,-0.891222046921055,-0.0540445956360322,-1.47661038320147,-0.0515492885890864,0.00256444965337244,0.411464847727993,-1.767246615102,-1.21721282548057,-1.09210669485806,-1.36132243170157,-1.0095452513724,-1.58714322397507,-0.967624941000535,-1.00608599747578,-1.31013298307777,-1.44701740646913
"VU429-1-GBM-vIII",2.14809871717491,-1.37432333404065,-1.39520285763032,-0.553407432398058,-1.43851059461105,-1.30417567782085,-0.00263480682821493,0.901242446504604,-1.42669497086263,-1.53440234742417,-1.31348243995826,-0.384732284904957,-0.611131019941251,-1.46390744845627,0.0257360137287235,-1.51628200481885,-1.02523503588917,-1.28587186500098,-1.24355299447178,-1.31310243460403,-1.49859564846077,-1.52177175096537,-1.30734058476361,-1.39573590201282,-0.916970519852556,-1.22200360969533,-1.39626130246975,-1.40320182181313,-1.42766076523776,-0.456507796914331,-1.31534287795279,-0.973543078409982,0.544329175567899,-1.2295845768542,-0.805093362044108,-1.35553108998853,-1.36601329298438,-0.432985026010868,0.0483310354847566,-1.64059848727527,-1.14723381679477,-1.03080399101032,-1.28890232522148,-0.402392245829655,-1.47817614683468,-0.894941671730748,-0.87691086975995,-1.2170003832202,-1.34307164408638
