"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977","cancer_type"
"VU402-2-GBM",-0.710809266387484,-0.69764332720662,-0.711515125612064,-0.724693886221996,-0.709179697215339,1.55427033300106,-0.705626754070925,-0.671762621307772,-0.702226645022852,-0.0131377587654719,-0.689527502220671,-0.631162117828245,-0.447122483147385,-0.699116150940307,-0.573852346991069,-0.669681924499193,-0.693851962105727,"GBM"
"VU406-2-GBM",-0.722259850236039,-0.715142373365545,-0.729917702112487,0.421145827488996,-0.723814850454739,2.03167436238021,-0.716409682157622,-0.690262688474563,-0.716674997532695,-0.574263215859025,-0.707441086632431,-0.648206947460794,-0.460305286901846,-0.71727980767056,-0.585554172030395,-0.683475918965157,-0.705646804459449,"GBM"
"VU408-GBM",0.254765626003914,-0.659168096763814,-0.671264751503288,0.712007703714234,-0.674919026986483,-0.670671334871867,-0.680904508271192,-0.631452447067408,-0.669853422799716,-0.528800140632346,-0.650286684265831,-0.594215614403269,-0.392906127090498,-0.659316871943067,-0.547431604913969,-0.630842547530863,-0.666978383095847,"GBM"
"VU417-GBM-vIII",-0.698380368908901,-0.6791171582691,-0.692099529755182,-0.702018967018732,-0.693495296951062,-0.689605190752903,-0.693898290873695,-0.652291726038487,-0.686741626249094,-0.544964600927442,-0.670608358426632,-0.613287272908376,-0.425507380410951,-0.679929453899119,-0.561247573247951,-0.654882800005742,-0.681074052458273,"GBM"
"VU418-GBM",-0.621827833548917,-0.619098025729261,-0.637700796056646,-0.635278542342852,-0.634083721176682,-0.630633841335367,-0.616750622255272,-0.587134767797705,-0.628570225552468,-0.501293018893597,-0.612217923786152,-0.564776591666136,-0.345170746122165,-0.618813578149537,-0.525385575897207,-0.524458829473029,-0.567623598358246,"GBM"
"VU419-GBM",-0.552236018126906,-0.588491158129588,-0.606529420437125,2.74532550504956,-0.558196813015112,2.38210932978185,-0.538610315790375,-0.556587583334777,-0.593329787893797,1.95124626134788,-0.581368183160593,-0.530176620744284,-0.313538598057706,-0.587571188076752,-0.493364402839245,-0.452196927302359,-0.498573008799383,"GBM"
"VU421-GBM",-0.590419167385304,2.69874366084571,-0.623621066127016,-0.620085597972806,-0.601354330478662,-0.617246948697833,-0.581483791166114,-0.573330020471253,-0.61603829748402,-0.483040869474781,1.64525010245315,-0.552999325359289,-0.33089430323058,-0.604699706566782,-0.518379965101941,-0.491845081033495,-0.536459202046663,"GBM"
"VU422-GBM",-0.694097575423591,1.4155427637665,-0.685536536336125,-0.694404803944267,-0.68813762095876,-0.683658177530246,-0.68985109517884,-0.645721161345877,-0.681451900595107,-0.539874608797465,-0.664209061178041,-0.607268057363134,-0.415053593170574,-0.67343892272823,-0.556927594064808,-0.647721425056824,-0.676676872777573,"GBM"
"VU425-GBM",-0.705646077963032,-0.689889832901179,-0.703381251347335,0.0711200155264283,0.78719743680834,-0.699790430379134,-0.700757577163867,-0.663599612370649,-0.695769373346331,-0.553710376571017,0.103892927075544,-0.623660904239579,1.14963619442679,-0.691080914390554,1.22956397905402,-0.663512574410755,-0.688540692503458,"GBM"
"VU429-1-GBM-vIII",-0.500454064655812,-0.565781863728819,-0.583410267219501,1.43220199134342,-0.499668886308497,2.20443816295651,-0.480467591835769,-0.533968979331271,-0.532092916196066,-0.419141238058735,-0.558499043396546,-0.499225684234038,-0.290001715030146,-0.564410492693252,-0.451051354263735,-0.398428212788426,-0.447193771255381,"GBM"
