"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000115423","ENSG00000124107","ENSG00000128596","ENSG00000133063","ENSG00000134121","ENSG00000152583","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197457","ENSG00000198178","ENSG00000213160","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000239219","ENSG00000254977","ENSG00000268632","ENSG00000269161"
"VU421-GBM",3.51266192128151,5.05908682477458,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.099926242915,3.51266192128151,3.51266192128151,3.51266192128151,4.28978927849551,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.37898446282407,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.90473274783191,3.51266192128151
"VU422-GBM",3.51266192128151,4.17271328566513,3.51266192128151,3.51266192128151,3.84483925023939,3.51266192128151,3.51266192128151,3.84483925023939,3.51266192128151,3.51266192128151,3.51266192128151,4.31764239023831,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.84483925023939,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU425-GBM",3.51266192128151,3.51266192128151,3.51266192128151,3.8264603387427,3.51266192128151,3.51266192128151,3.95557379381337,4.13662218395813,3.51266192128151,3.51266192128151,3.51266192128151,4.13662218395813,3.51266192128151,3.51266192128151,3.51266192128151,3.8264603387427,3.51266192128151,4.33341883130625,3.51266192128151,3.51266192128151,3.51266192128151,4.05406625284533,3.51266192128151,3.95557379381337,3.51266192128151,4.20894318321458,3.8264603387427,4.05406625284533,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU429-1-GBM-vIII",3.51266192128151,3.51266192128151,3.51266192128151,4.24345161201356,4.5356714306776,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.4496701169207,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.24345161201356,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.9375714180021,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU430-GBM",3.51266192128151,3.51266192128151,3.51266192128151,3.75922724313753,3.93869583535891,3.51266192128151,3.51266192128151,4.16035362800213,3.51266192128151,4.0040147349935,3.51266192128151,3.75922724313753,3.51266192128151,3.51266192128151,3.51266192128151,3.8609361823967,3.51266192128151,4.0040147349935,3.51266192128151,3.51266192128151,3.51266192128151,4.16035362800213,3.51266192128151,3.51266192128151,3.51266192128151,3.75922724313753,3.51266192128151,3.75922724313753,3.51266192128151,4.0040147349935,3.51266192128151,3.51266192128151,3.51266192128151
"VU431-1-GBM-vIII",3.51266192128151,4.06781059880238,4.2264821327395,3.966862535702,4.51236359531643,3.83449057570354,3.51266192128151,3.966862535702,3.51266192128151,4.2264821327395,3.51266192128151,3.83449057570354,3.51266192128151,3.966862535702,3.83449057570354,3.51266192128151,4.2264821327395,3.51266192128151,3.83449057570354,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.06781059880238,3.51266192128151,3.966862535702,3.51266192128151,3.51266192128151,3.51266192128151,3.966862535702,3.51266192128151,3.51266192128151,3.51266192128151
"VU436-1-GBM-vIII",3.51266192128151,4.18040468739781,3.51266192128151,4.18040468739781,4.44892781506064,3.51266192128151,3.51266192128151,4.64990387228868,3.51266192128151,4.95794445952779,3.51266192128151,4.81538797046472,3.51266192128151,3.51266192128151,5.08408744844292,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.18040468739781,4.18040468739781,5.19772526874167,3.51266192128151,3.51266192128151,4.18040468739781,3.51266192128151,4.18040468739781,4.44892781506064
"GBM-438",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.2033296571407,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.35465379842034,4.00334635093101,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.00334635093101,4.2033296571407
"VU439-1-GBM-vIII",3.51266192128151,3.51266192128151,3.51266192128151,4.10409657617619,4.34342052868912,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.17287960769232,3.51266192128151,4.19403368312367,3.85571424058176,4.4079955946134,3.51266192128151,3.51266192128151,3.51266192128151,4.19403368312367,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"GBM-440",4.11983460520239,3.51266192128151,3.51266192128151,5.15292480835907,4.2120807085988,4.00962253462786,3.51266192128151,5.15292480835907,3.51266192128151,3.86493032417211,3.86493032417211,3.51266192128151,3.51266192128151,3.86493032417211,4.98698574598575,4.54962780954558,4.60324877858262,5.05628013181481,3.51266192128151,3.86493032417211,3.51266192128151,3.86493032417211,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.95065555238367,3.51266192128151,3.51266192128151,3.51266192128151,4.00962253462786,3.86493032417211
"VU443-1-GBM-WT",3.51266192128151,3.51266192128151,3.51266192128151,4.64704827074026,3.98567443925527,3.98567443925527,3.51266192128151,4.17867306682959,3.51266192128151,3.51266192128151,3.51266192128151,4.44653973760256,3.51266192128151,3.51266192128151,4.17867306682959,4.81216507928411,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.17867306682959,3.51266192128151,3.51266192128151,4.44653973760256,3.51266192128151,3.51266192128151,3.51266192128151
"VU445-1-GBM-WT",3.51266192128151,4.05009182280339,3.51266192128151,3.51266192128151,4.05009182280339,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.97777302275269,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.05009182280339,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.56992921809991,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU454-1-GBM-WT",3.51266192128151,4.13245741206714,4.46297207935203,3.51266192128151,4.78148712555906,3.51266192128151,3.51266192128151,3.99421535383662,3.51266192128151,3.51266192128151,3.51266192128151,3.7915449667364,4.24381661284506,3.51266192128151,3.51266192128151,5.10629896826633,3.7915449667364,4.57059066756629,3.7915449667364,3.51266192128151,3.7915449667364,3.99421535383662,3.90645286265418,3.51266192128151,3.51266192128151,3.51266192128151,4.38269714314474,3.51266192128151,3.51266192128151,3.90645286265418,3.51266192128151,3.51266192128151,3.51266192128151
