"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000115423","ENSG00000124107","ENSG00000128596","ENSG00000133063","ENSG00000134121","ENSG00000152583","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197457","ENSG00000198178","ENSG00000213160","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000239219","ENSG00000254977","ENSG00000268632","ENSG00000269161","cancer_type"
"VU456-1-GBM-WT",-0.534056227208765,-0.581516630507172,-0.599078721674164,-0.515437861268854,-0.574255517563867,-0.601125412635248,-0.537599134864148,1.52119364548549,-0.510995384193139,0.521288729358833,-0.522135874856519,-0.590379159718872,-0.54959050934479,-0.569888893646617,-0.444885145393611,0.455147909830437,-0.520345324421267,0.859022362119335,-0.50701608160031,-0.553506437570644,1.10213213794992,1.92705736942521,-0.660332449393312,-0.705088298281143,1.45571229049182,0.710369125285032,-0.706896831843235,-0.586266477612917,-0.433157316468821,3.75066818787996,0.596566864739303,0.301465001987421,-0.569285421530337,"GBM"
"VU468-1-GBM-WT",-0.497135010055152,-0.565198349810944,0.414988951029077,-0.485596411243503,-0.544760475452167,-0.559174594690044,1.41475496552912,-0.658567670845429,-0.474587184512069,-0.554773809969001,-0.480064918013861,2.67180898074195,-0.5269946217699,1.40318984351397,-0.418571224968272,1.99791454891251,-0.498232982542889,-0.291004801935759,-0.47272939700662,-0.514735395834469,-0.564136692055833,-0.589311811087691,-0.619647740912154,-0.691287714600135,-0.487510354310404,-0.40192198502822,-0.690937090560285,-0.0200073365717691,-0.394780664921988,0.562577633196585,-0.442741661894016,-0.615991776061668,-0.533014965317017,"GBM"
"GBM-471",-0.684621286921525,-0.655824032425687,-0.667142609791209,-0.579883955855351,-0.640186713430017,-0.695995669171565,-0.67043885208848,1.33076193837409,-0.638969526442249,2.27837885288181,-0.681161703269277,-0.662020208220661,0.848718705598671,-0.665495949083266,1.35659608071652,-0.647147434128722,-0.590885602934214,-0.388808072915912,-0.656905844050672,-0.684539130345693,-0.656036043232144,2.80972947464483,-0.733646871399561,-0.766351305839329,-0.651072632580305,-0.535362749249883,-0.781270342619356,-0.168457286305663,-0.61261943908334,2.50815821532339,-0.650060588785096,-0.719558597688193,-0.685797672830669,"GBM"
"GBM-475",-0.54582155919293,-0.586725136281463,-0.604369709302862,-0.521846040932778,-0.583654421204765,-0.614493479513418,-0.550900741086926,-0.677992851268452,-0.522597237794315,-0.599328130749215,-0.535542225250815,2.32782241230795,-0.554773931718562,-0.583755858210373,-0.453270351339583,-0.57997787588124,-0.527391653421316,-0.313725321463585,-0.517941892231175,-0.565861235504334,-0.586081376213201,-0.624665138485046,-0.67255968477934,-0.70943859545284,-0.53165975390021,-0.432921392910208,-0.71198195173981,-0.590529261458903,-0.445386437843975,1.25314477248678,-0.490903586129375,-0.66043841161108,-0.580843381734961,"GBM"
"GBM-476",-0.524880873179869,-0.577457401682898,-0.594955436816044,-0.50802191212561,-0.566925654836269,-0.590700144019449,-0.52722569649361,-0.669656281904727,-0.501947521002747,-0.585942816369403,-0.511680750320406,-0.586082842522844,-0.545552267286524,-0.559074552891107,-0.438345828588693,0.466473064187938,0.0732519954388153,2.49846432442349,-0.498495439707188,-0.543871380510678,-0.576631901469598,2.30103445706493,-0.650221823778667,-0.701679482731289,-0.512670551936876,-0.419588164769303,-0.702930722275686,1.1674151043552,-0.423620269980872,-0.59608185380274,0.610622672502003,-0.642837319180977,-0.560271789201763,"GBM"
"GBM-480",-0.611846018129989,-0.616013184447859,-0.634127749207835,0.651826016037975,5.94328370789763,-0.660491109475894,-0.625546433621066,3.32907691249859,-0.587704291952702,0.418612410380442,-0.610775719069379,-0.626970195663126,-0.583958593601248,-0.627093701287671,0.92168805735363,2.64375609247592,-0.563701870650507,6.55693254542971,0.363138311490463,-0.63519364787868,-0.615961618355101,2.12169144876121,0.33044524591116,1.90732068872638,-0.591531325657369,-0.474960090846758,1.31752015682488,-0.614279359059077,1.77544261204601,-0.688720157763315,-0.556216594451377,0.211054157158967,-0.645704115792593,"GBM"
"GBM-484",-0.479848491513045,2.64097651608741,-0.574761021411944,-0.471624640566501,-0.53095089300416,-0.53953321642103,-0.476313150293317,-0.105355240912385,-0.457540860815537,-0.535354568813764,-0.460367290697898,2.39469367996603,0.57428122327665,-0.505998070082518,-0.406251044096251,3.32415293189522,-0.48787998127808,-0.28293771381678,-0.456676366942377,-0.496582789188795,-0.556367877882008,-0.566854194294168,1.19573942396898,-0.683817330433521,0.478609477577448,-0.390915416507024,1.01194007386009,-0.564116517340597,-0.376812711812855,-0.548111791045846,-0.425641415294879,-0.599266184328654,0.500107646491345,"GBM"
"GBM-485",-0.530499511487246,1.54002373347181,-0.597480062427231,-0.512563157707039,-0.571414184366501,-0.597084182545351,-0.533577996145939,-0.671895951848581,0.500409036262474,-0.592254653653992,-0.518083071477931,-0.58871320109897,-0.548024695180399,-0.56569684441755,-0.442350257822528,2.09851863306152,-0.518215185708032,-0.306574991644176,-0.503713157169994,1.78022204222978,-0.57916579905925,-0.618210786991043,-0.656413186881487,-0.703768578772678,-0.51776558356625,-0.423165630490647,-0.705359448132507,-0.58497620073969,-0.429460395012306,1.28629888581764,-0.475746642090388,0.305673303889385,-0.565791395282404,"GBM"
"GBM-486",-0.394696341184151,2.05798819694043,-0.499620100914582,6.58538167962959,2.88609449073934,-0.442781195997982,-0.380042142027535,4.25002856981902,2.15913173553201,3.49138299426661,-0.363338191504316,-0.505833835872653,-0.416378980989634,-0.405635253909837,7.52968951502714,2.1433487470877,0.581250976639638,4.11705339965722,-0.377600292373823,-0.407164350988558,-0.462860128276032,-0.456229584915912,-0.50676718871171,-0.634566164442464,-0.394618050264941,-0.336697849503006,-0.166575887690571,-0.513959790611213,-0.288303863687935,0.729037561713534,-0.341406827195182,2.06179716149489,1.31377232113731,"GBM"
"GBM-499",-0.413683819904163,-0.474868294853737,-0.519226655890897,-0.418147266485218,-0.478094299265893,-0.464355248112993,-0.401508936626862,-0.055382573650005,-0.392295542229598,0.687276534850965,-0.384974027464343,-0.52468851002954,-0.436882099085211,0.802370306821604,0.855380357050776,-0.488760537003392,-0.448253556374507,0.26770848636773,-0.395232909722097,-0.427103139215819,-0.484060556807441,-0.480896988009865,-0.527690118562622,-0.651894311626449,-0.411836066330116,-0.348787443198096,-0.654903572326525,-0.525143886112749,-0.308039828825776,-0.477630876382031,-0.360189705171305,-0.535248477016148,-0.451034657741362,"GBM"
"GBM-505",-0.527017593537157,0.503034010665861,-0.595915410709237,-0.509748909193292,-0.568632604438076,-0.593127939569488,-0.529641422019995,0.838984767915293,-0.504054551795019,-0.588343154401507,-0.514115498599742,-0.58708294170545,-0.546492345806745,-0.561592954030733,-0.43986867896545,-0.571603802344042,-0.516129843835781,-0.304950087308581,-0.500479693277425,-0.546115154701717,-0.577595386342643,1.43136538926479,-0.652576346504177,-0.702474566050017,-0.514608149128208,-0.420948644553928,-0.703854355615134,-0.583712352696595,-0.425841219855396,1.29387246391192,-0.472302243761172,-0.644904705523487,-0.562370848445559,"GBM"
"HD-1",1.441015687079,-0.520371756743619,-0.56141159356617,1.80274428805937,0.293093915812663,0.659627897262295,-0.447696315967812,2.24393866259154,-0.432580843445202,-0.506920015699459,-0.431525111661909,-0.553310486530849,1.63846106689107,-0.476164934078316,1.127025446672,-0.533225824437755,-0.472720636893634,-0.271125509428184,2.12255464552475,-0.470002901040571,2.98925195012204,-0.533970710720794,-0.572707333101928,0.742249327028423,1.60471499440675,0.31995087351001,2.08712526347531,-0.549207285942896,0.807186916191264,-0.521148862633322,-0.40060244151086,-0.574775797567433,-0.491167547216298,"HC"
"HD-2-1",-0.269430299267956,-0.314193616302727,-0.370269828890052,-0.301554841887332,1.04419336284327,-0.300450760430872,-0.238419316178125,-0.545051790349867,2.39401721410008,-0.298976051722263,-0.220600149543843,-0.381443945140963,-0.281113815527415,-0.257993031265366,0.522313659781293,-0.331751697049922,-0.361859244069056,0.335027180968478,2.13467867935933,-0.275622237437643,-0.322994598564679,-0.293491393316372,-0.368732400293373,0.430357584030399,2.78790860379687,-0.256939205773071,1.75736408443541,0.96445441744767,0.999590283768855,-0.323966997597677,1.95853002617475,0.630696625523028,0.78482982835624,"HC"
"HD-3-1",-0.390907269710967,-0.44949896684945,-0.495707488858835,-0.399738196125695,-0.459898926553446,-0.438475957443918,-0.375758307389118,-0.615767612145333,-0.369835470449475,0.720795007996613,-0.359020623593193,-0.502071266390008,-0.412287454092737,-0.401169343392486,-0.342862228302505,-0.463970017450014,-0.43461254170843,-0.241431572950989,1.37155457657998,2.97566774652143,-0.458629448671203,-0.451307048608752,-0.502591885723739,2.29260607629773,0.593392171067101,-0.33428529461523,1.97963548078077,1.1172399750254,-0.284365427015928,-0.453368501137557,1.67797209827995,0.47567909506415,1.80322412420512,"HC"
