"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000115423","ENSG00000124107","ENSG00000128596","ENSG00000133063","ENSG00000134121","ENSG00000152583","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197457","ENSG00000198178","ENSG00000213160","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000239219","ENSG00000254977","ENSG00000268632","ENSG00000269161"
"VU431-1-GBM-vIII",-1.48158267210095,-0.501137075721639,-0.00627735920440653,-0.498102371568935,0.80478760225951,-1.08529891269153,-1.64241675945538,0.304208785174514,-1.5857918128829,-0.255443284431802,-1.61820019905085,-0.825367445249926,-1.58832259691685,-0.895206802132094,-0.888867026684225,-1.48075760817949,0.666787602953218,-1.46681706437632,-1.0468281595681,-1.50837288817703,-1.51170957209179,-1.56243851975209,-1.40124496727061,0.052028222977666,-1.49005252422175,-0.418559521487827,-0.653033767953616,-0.984043524652399,-1.78014983496261,-0.759951878726704,-1.60042122723247,-1.31957034008327,-1.46014306169247
"VU436-1-GBM-vIII",-1.14994856091007,-0.401483209787704,-0.978336778128623,-0.133815821066808,0.591696416985161,-1.15931713185344,-1.26906620988709,1.89156045266282,-1.1806617344191,0.313243381149818,-1.31400305308595,0.838412090218694,-1.16515822952455,-1.2521722634369,0.876211605210832,-1.07982240542496,-0.536613715432748,-0.906385088671088,-1.12470468887897,-1.16412981696909,-1.10955165708532,-1.23870122884933,-1.01874542963823,-0.627779079058485,-0.411268806944971,-0.168005024957738,3.09501332398906,-0.346776054992657,-1.39421092612743,-0.578396544860263,-1.25577535736606,-0.125432201760741,0.229992819180612
"GBM-438",-1.31100276311148,-1.34876383899432,-1.21940739737774,-1.21119781885912,-1.04313311890384,-1.34848640820263,-1.45741913494883,0.948134015628092,-1.3813346982035,-1.3681026213413,-1.46411407850502,-1.19897115762538,-1.39889937815148,-1.44326704694997,-1.20842368374355,-1.31314314321458,-0.803761707310563,-1.14387647657418,-1.31823271011278,-1.33742140455548,-0.00633919456236653,-0.859432351219096,-1.22762443213436,-0.89129822548134,-1.27249099205801,-1.111674541767,-0.273899586702358,-0.666719853818014,-1.56977386244997,-1.23100064256194,-1.41470668553211,-0.412352393418855,-0.194672065317852
"VU439-1-GBM-vIII",-1.47507003469917,-1.50918742453022,-1.37837141005333,-0.159066426908714,0.508077026468194,-1.50488385443782,-1.63380247716649,-0.745780180474865,-1.57552325397863,-1.53287327587103,-1.6131290895653,-1.36951843892284,0.583595969136332,-1.60141829613412,0.00534883538926789,-0.93124892179868,1.14264241302702,-1.41802054843859,-1.52253069220352,-1.50118044336355,-0.2356830925083,-1.55553395783565,-1.39080862454551,-1.05028646695984,-1.47849667887492,-1.36328539483441,-0.59642648109403,-0.946002710063094,-1.76864390486683,-1.3720686296193,-1.59377057496431,-1.30471822108099,-1.4494315760632
"GBM-440",-0.496011995698901,-1.50411652680808,-1.37229963006226,0.957761834090357,0.228223241993379,-0.721889760771997,-1.6281885271053,2.98610892439561,-1.5704026707858,-1.00176564015915,-1.19726473634392,-1.36188702182599,-1.56879804371219,-1.11356722934011,0.702773878405812,0.267216757357415,1.67327366913014,4.19786251171915,-1.5180496021302,-1.03534297711229,-1.49395731279873,-1.10546438228025,-1.38627806573732,-1.04226397411642,-1.47348692426362,-1.35168463581261,-0.572769144985727,2.57731900827856,-1.75745176235182,-1.36959592324542,-1.58460529012151,-0.363636996998807,-0.911644413859342
"VU443-1-GBM-WT",-1.33010025045241,-1.37548849403773,-1.24799307248868,0.749586505774686,-0.348151916864538,-0.793712153020388,-1.47975365061391,0.889103065729074,-1.40513009958488,-1.39339061958676,-1.48191394568321,0.446218573630786,-1.42661593919703,-1.46592668674313,-0.0739381504476777,0.429389032922863,-0.835439585461559,-1.17203773354273,-1.34118087840091,-1.35796997674413,-1.36779002368789,-1.44631648616339,-1.25239288928377,-0.922545802347481,-1.29678776864486,-1.13829732020684,1.12766938732467,-0.704658153870787,-1.59059176665941,0.0925836642123361,-1.43355244668731,-1.14463329500038,-1.28435891101549
"VU445-1-GBM-WT",-1.26356441456925,-0.591389601758852,-1.14840029602357,-1.1356961594361,-0.211464738921282,-1.29276679367365,-1.40193997584652,-0.392912940486623,-1.32222668444859,0.280549669551507,-1.41989903135614,-1.12160503480309,-1.33005116478193,-1.38698027627907,-0.394004860783477,-1.24441876142196,-0.725073542842748,-1.07392363410791,-1.26122923179002,-1.2863785468157,-1.27241425661818,-1.36963746792836,-1.16609933817144,-0.813678933685868,-1.21213755730489,-1.04554329527132,2.02825668709335,-0.572480739065687,-1.51806198129116,-1.18526691726886,-1.36789362733949,-1.04720388730588,-1.20055208510801
"VU454-1-GBM-WT",-1.49432587647189,-0.362799820971476,0.356673345981821,-1.48010128947598,1.05289860590626,-1.52905636502746,-1.65913983724375,0.387960788427286,-1.60644977444166,-1.5646363569108,-1.62808912871016,-0.941184718467052,-0.172508842579656,-1.62553813400787,-1.47444857906211,0.601969400291768,-0.602452328456459,1.97485121906606,-1.14737999377434,-1.52254606103024,-1.11214630703954,-0.843213989850444,-0.771956241680715,-1.10728126806285,-1.51329746168969,-1.41367816790756,1.67949231202627,-1.06536947400782,-1.79613888358636,-0.875088336189678,-1.61347734021984,-1.34982036615249,-1.48161765668354
"VU456-1-GBM-WT",-1.40227703395538,-1.46053135199295,-1.3261890331468,-1.35646760845151,-1.18171046849503,-1.45569433900377,-1.5641644148691,2.74960577814639,-1.49506211541551,-0.878838816231247,-1.54918652121981,-1.30687244615951,-1.52061506351894,-1.55156622069904,-1.34086821343838,-0.78269255495845,-0.95516252661714,0.429875447541282,-1.42791087302026,-1.43563097055333,-0.448132777862311,-0.475880854447016,-1.34600245882872,-0.992121807868262,-0.104095239598231,-0.0871153585950862,-0.432420176768001,-0.832764652482655,-1.66927067023903,0.507188157952716,-1.00769402616996,-0.582166638855947,-1.37527092931818
"VU468-1-GBM-WT",-1.38517614774143,-1.45103554528325,-0.645344778356854,-1.32925027634712,-1.15574701279958,-1.43560816785266,-0.628755285888661,-0.600803637343172,-1.47375447194525,-1.4663195431225,-1.53324759177827,1.1746668232575,-1.50654867810126,-0.631568872327443,-1.31605378533031,0.168408018132381,-0.926796502328773,-1.25325294623752,-1.40736188625,-1.41723070728393,-1.43894821662953,-1.5097885336169,-1.32382349047306,-0.980949172416234,-1.36685807411815,-1.21507566202344,-0.402644821729022,0.0517925089884916,-1.65062923303093,-0.829207030190098,-1.48790238221482,-1.2252817452661,-1.35373109330691
"GBM-471",-1.47201460363603,-1.50377173612737,-1.37188707523074,-1.41524661408634,-1.23974739810293,-1.50111848812113,-1.62781039187593,2.45690208635515,-1.56995808446487,0.0804516945466154,-1.60943476962388,-1.36136963255854,-0.65014001422963,-1.5961454033899,0.357956045766271,-1.46224687431986,-1.04565259160492,-1.39639344546772,-1.51774407742862,-1.49781748749981,-1.49359443836667,-0.113214885223213,-1.3859692745291,-1.04171893114678,-1.4731456200569,-1.35039624806929,-0.571175414061232,-0.180102142488059,-1.75644429678298,-0.0136516112015104,-1.58369326481428,-1.29787959303887,-1.44446373934386
"GBM-475",-1.40772641019597,-1.46356224507536,-1.32974139816753,-1.36231228268649,-1.18998399518952,-1.462095007511,-1.57053746158659,-0.630661175826527,-1.50185201885192,-1.49064415605295,-1.55426562778262,0.912997005035312,-1.52384184612044,-1.55803204002411,-1.34877559047511,-1.42083749734406,-0.964201656920867,-1.28650568385447,-1.43445902256486,-1.4414944068821,-1.45199721056763,-1.5243142546293,-1.35266804589639,-0.995643708501657,-1.39554764353908,-1.24651176826978,-0.44190725100385,-0.839423575412955,-1.67521095916567,-0.539732629696284,-1.51015540705619,-1.25643776638321,-1.38213482333617
"GBM-476",-1.39802726384168,-1.45816923719524,-1.3234206628673,-1.34970378328452,-1.17525824627202,-1.45070269068867,-1.55919430778209,-0.617847424027261,-1.4897669169515,-1.48333638913967,-1.54522551094598,-1.3036042472155,-1.51810117823724,-1.5465237636333,-1.33470153800163,-0.775710707848916,-0.193687505777074,2.82928948136002,-1.42280420961402,-1.43105829005314,-1.44637825803392,-0.322223837130709,-1.34049072594591,-0.989362109123481,-1.38320790544441,-1.23299071076959,-0.425020788619809,1.90667298276291,-1.66463805519603,-1.31489805325318,-1.00119959630083,-1.24409982447472,-1.36991802829368
